tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,ai,2.958,0.000000,0.591,-0.001426,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
2,ai,5.424,0.000000,0.628,-0.001740,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
3,ai,0.597,0.000000,0.494,-0.001299,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
4,ai,2.658,0.000000,0.541,-0.001294,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
5,ai,4.071,0.000000,0.290,-0.000626,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
6,ai,15.513,0.000000,0.265,-0.000352,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
7,ai,11.597,0.000000,-0.128,0.000333,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
8,ai,7.519,0.000000,0.251,-0.000625,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
9,ai,7.645,0.000000,0.531,-0.001399,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
10,ai,8.740,0.000000,0.790,-0.002145,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
11,ai,9.641,0.000000,0.873,-0.002310,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
12,ai,11.348,0.000000,0.477,-0.001520,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
13,ai,8.934,0.000000,0.474,-0.001260,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
14,ai,14.639,0.000000,0.279,-0.000610,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
15,ai,13.752,0.000000,0.077,-0.000228,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
16,ai,14.012,0.000000,0.778,-0.001775,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
17,ai,14.576,0.000000,0.363,-0.000923,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
18,ai,14.227,0.000000,0.483,-0.001219,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
19,ai,18.707,0.000000,0.274,-0.000414,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
20,ai,16.967,0.000000,0.162,-0.000299,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
21,ai,21.115,0.000000,0.275,-0.000602,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
22,ai,20.651,0.000000,0.196,-0.000386,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
23,ai,22.545,0.000000,-0.008,0.000009,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
24,ai,22.641,0.000000,0.002,0.000030,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
25,ai,24.855,0.000000,0.038,-0.000065,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
26,ai,23.707,0.000000,0.004,0.000076,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
27,ai,26.580,0.000000,-0.211,0.000526,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
28,ai,27.953,0.000000,-0.260,0.000584,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
29,ai,29.569,0.000000,-0.204,0.000432,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
30,ai,30.659,0.000000,-0.148,0.000434,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
31,ai,30.431,0.000000,-0.122,0.000223,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
32,ai,32.913,0.000000,-0.109,0.000270,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
33,ai,33.396,0.000000,-0.127,0.000292,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
34,ai,34.196,0.000000,-0.113,0.000341,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
35,ai,35.665,0.000000,-0.165,0.000411,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
36,ai,36.854,0.000000,-0.201,0.000528,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
37,ai,37.196,0.000000,-0.249,0.000648,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
38,ai,39.296,0.000000,-0.331,0.000882,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
39,ai,40.363,0.000000,-0.393,0.000958,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
40,ai,41.417,0.000000,-0.426,0.001020,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
41,ai,42.779,0.000000,-0.469,0.001144,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
42,ai,44.307,0.000000,-0.505,0.001234,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
43,ai,45.477,0.000000,-0.525,0.001227,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
44,ai,46.702,0.000000,-0.519,0.001225,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
45,ai,48.014,0.000000,-0.484,0.001133,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
46,ai,49.285,0.000000,-0.436,0.001064,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
47,ai,50.464,0.000000,-0.406,0.000957,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
48,ai,51.470,0.000000,-0.345,0.000819,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
49,ai,52.851,0.000000,-0.315,0.000748,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
50,ai,54.716,0.000000,-0.305,0.000747,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
51,ai,55.685,0.000000,-0.286,0.000671,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
52,ai,57.225,0.000000,-0.213,0.000492,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
53,ai,58.353,0.000000,-0.092,0.000212,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
54,ai,59.864,0.000000,-0.027,0.000036,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
55,ai,60.986,0.000000,0.033,-0.000097,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
56,ai,62.246,0.000000,0.097,-0.000259,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
57,ai,63.777,0.000000,0.155,-0.000373,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
58,ai,65.473,0.000000,0.139,-0.000355,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
59,ai,67.062,0.000000,0.094,-0.000219,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
60,ai,67.936,0.000000,0.020,-0.000057,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
61,ai,69.933,0.000000,-0.063,0.000183,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
62,ai,73.938,0.000000,-0.166,0.000439,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
63,ai,68.691,0.000000,-0.336,0.000855,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
64,ai,70.896,0.000000,-0.455,0.001113,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
65,ai,73.896,0.000000,-0.475,0.001148,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
66,ai,74.616,0.000000,-0.420,0.000951,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
67,ai,75.567,0.000000,-0.372,0.000916,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
68,ai,75.871,0.000000,-0.450,0.001124,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
69,ai,76.596,0.000000,-0.575,0.001437,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
70,ai,75.936,0.000000,-0.744,0.001829,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
71,ai,75.744,0.000000,-0.862,0.002111,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
72,ai,75.855,0.000000,-0.895,0.002173,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
73,ai,75.934,0.000000,-0.887,0.002134,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
74,ai,75.995,0.000000,-0.839,0.002015,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
75,ai,76.033,0.000000,-0.785,0.001887,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
76,ai,75.931,0.000000,-0.712,0.001735,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
77,ai,76.089,0.000000,-0.670,0.001616,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
78,ai,75.851,0.000000,-0.635,0.001525,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
79,ai,75.916,0.000000,-0.624,0.001510,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
80,ai,76.028,0.000000,-0.608,0.001464,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
81,ai,75.988,0.000000,-0.620,0.001511,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
82,ai,75.901,0.000000,-0.688,0.001674,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
83,ai,75.902,0.000000,-0.808,0.001999,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
84,ai,75.799,0.000000,-1.049,0.002613,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
85,ai,75.858,0.000000,-1.436,0.003566,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
86,ai,75.882,0.000000,-1.890,0.004659,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
87,ai,76.033,0.000000,-2.172,0.005321,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
88,ai,76.051,0.000000,-2.487,0.006088,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
89,ai,75.972,0.000000,-2.811,0.006833,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
90,ai,76.082,0.000000,-3.069,0.007500,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
91,ai,76.076,0.000000,-3.314,0.008061,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
92,ai,76.067,0.000000,-3.530,0.008544,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
93,ai,76.010,0.000000,-3.618,0.008737,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
