tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,2.976,0.000000,6.537,-0.035239,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
2,ai,10.871,0.000000,86.494,-0.223096,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
3,ai,9.578,0.000000,92.721,-0.223618,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
4,ai,18.260,0.000000,99.292,-0.246665,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
5,ai,13.928,0.000000,142.953,-0.361222,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
6,ai,19.303,0.000000,219.403,-0.540201,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
7,ai,23.941,0.000000,343.444,-0.840680,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
8,ai,26.980,0.000000,366.808,-0.879145,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
9,ai,24.588,0.000000,308.109,-0.724301,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
10,ai,25.681,0.000000,197.494,-0.443508,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
11,ai,28.740,0.000000,69.394,-0.139758,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,160.000,0.000000,coast,0.600000,0.000
