tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,2.657,0.000000,-5.705,0.013676,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
2,ai,11.238,0.000000,-5.398,0.012844,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
3,ai,9.126,0.000000,-4.701,0.012179,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
4,ai,11.600,0.000000,-5.160,0.011683,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
5,ai,16.059,0.000000,-4.547,0.010123,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
6,ai,19.987,0.000000,-3.906,0.009455,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
7,ai,23.008,0.000000,-2.926,0.006819,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
8,ai,26.694,0.000000,-1.731,0.004013,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
9,ai,30.747,0.000000,-0.497,0.000858,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
10,ai,35.268,0.000000,1.668,-0.004451,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
