tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,7.827,0.000000,67.193,-0.182431,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
2,ai,4.981,0.000000,92.847,-0.224611,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
3,ai,2.213,0.000000,95.180,-0.230080,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
4,ai,4.451,0.000000,94.571,-0.227430,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
5,ai,5.122,0.000000,92.252,-0.222480,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
6,ai,4.669,0.000000,91.647,-0.221497,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
7,ai,5.761,0.000000,91.344,-0.219983,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
8,ai,3.764,0.000000,87.982,-0.211649,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
9,ai,9.753,0.000000,85.565,-0.206293,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
10,ai,5.576,0.000000,83.579,-0.201531,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
11,ai,6.684,0.000000,80.770,-0.194039,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
12,ai,12.004,0.000000,77.097,-0.185309,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
13,ai,7.533,0.000000,73.050,-0.175309,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
14,ai,9.405,0.000000,68.306,-0.163931,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
15,ai,8.782,0.000000,63.002,-0.150692,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
16,ai,10.289,0.000000,57.255,-0.137060,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
17,ai,12.810,0.000000,51.498,-0.123095,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
18,ai,12.603,0.000000,45.794,-0.109199,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
19,ai,12.547,0.000000,40.336,-0.096101,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
20,ai,12.992,0.000000,34.935,-0.083016,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
21,ai,13.224,0.000000,29.689,-0.070723,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
