tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,10.127,0.000000,68.415,-0.184976,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
2,ai,11.007,0.000000,78.059,-0.179404,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
3,ai,21.386,0.000000,37.977,-0.079209,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
4,ai,27.265,0.000000,-15.255,0.048429,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
5,ai,32.828,0.000000,-43.492,0.106730,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
6,ai,46.863,0.000000,-12.971,0.021089,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
7,ai,60.098,0.000000,13.610,-0.031331,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
8,ai,70.570,0.000000,1.191,-0.002306,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
9,ai,85.902,0.000000,0.138,-0.000054,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
10,ai,92.948,0.000000,-0.193,0.000456,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
11,ai,85.045,0.000000,-0.429,0.000995,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
12,ai,69.018,0.000000,4.528,-0.012834,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
13,ai,50.866,0.000000,7.539,-0.017813,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
14,ai,44.437,0.000000,6.021,-0.012429,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
15,ai,38.051,0.000000,-4.556,0.013005,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
16,ai,35.076,0.000000,-8.365,0.021339,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
17,ai,36.165,0.000000,-39.366,0.118458,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
18,ai,36.428,0.000000,-262.255,0.704851,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
19,ai,13.382,0.000000,-414.000,1.000000,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
20,ai,13.251,0.000000,-277.121,0.580166,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
21,ai,22.828,0.000000,-90.491,0.205576,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
22,ai,25.164,0.000000,-44.066,0.096222,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
23,ai,23.827,0.000000,-20.610,0.072784,0.000000,1.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,6085.379
