tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,0.613,0.000000,-45.078,0.126275,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
2,ai,2.537,0.000000,-98.585,0.238018,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
3,ai,3.577,0.000000,-98.639,0.238024,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
4,ai,5.791,0.000000,-97.637,0.235285,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
5,ai,2.275,0.000000,-95.428,0.230253,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
6,ai,5.237,0.000000,-93.669,0.225673,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
7,ai,6.665,0.000000,-91.778,0.221214,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
8,ai,6.496,0.000000,-89.902,0.216323,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
9,ai,6.161,0.000000,-88.015,0.212199,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
10,ai,11.489,0.000000,-85.207,0.205139,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
11,ai,7.308,0.000000,-81.118,0.195272,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
12,ai,8.881,0.000000,-77.905,0.187130,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
13,ai,11.021,0.000000,-74.481,0.178664,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
14,ai,10.154,0.000000,-70.307,0.169080,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
15,ai,13.816,0.000000,-66.325,0.159282,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
16,ai,11.907,0.000000,-61.473,0.147536,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
17,ai,13.724,0.000000,-57.487,0.137694,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,130.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,130.000,0.000000,coast,0.600000,0.000
