tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,custom,0.000,0.300000,0.000,0.000000,0.482798,0.000000,-0.406231,1.000,178.556,12.000,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.482798,0.000
2,custom,11.848,0.600000,-114.047,0.296912,0.000000,0.380000,-0.414613,1.000,178.967,14.139,8.000,180.000,0.000000,39.354,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_trail_brake,0.339912,0.000
3,custom,0.210,0.300000,-237.640,0.595955,0.482798,0.000000,-0.443322,1.000,-179.639,12.038,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.482798,0.000
4,custom,7.649,0.000000,-124.200,0.300000,0.000000,0.000000,-0.470921,1.000,-178.446,13.381,8.000,180.000,0.000000,35.330,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.600000,0.000
5,custom,7.898,-0.300000,0.000,0.000000,0.000000,0.000000,-0.488940,1.000,-177.618,13.426,8.000,180.000,0.000000,35.569,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.482798,0.000
6,custom,7.354,-0.600000,113.894,-0.296883,0.000000,0.000000,-0.460517,1.000,-178.793,13.328,8.000,180.000,0.000000,35.047,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.339912,0.000
7,custom,7.397,-0.300000,237.625,-0.595917,0.000000,0.000000,-0.367987,1.000,177.622,13.336,8.000,180.000,0.000000,35.089,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.482798,0.000
8,custom,7.242,0.000000,124.200,-0.300000,0.000000,0.000000,-0.276777,1.000,174.312,13.308,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.600000,0.000
9,custom,6.830,0.300000,0.000,0.000000,0.000000,0.000000,-0.253683,1.000,173.513,13.233,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.482798,0.000
10,custom,6.716,0.600000,-113.904,0.296912,0.000000,0.000000,-0.284247,1.000,174.501,13.213,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.339912,0.000
