tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,custom,0.000,-0.300000,0.000,0.000000,0.482798,0.000000,-0.504238,1.000,-1.443,12.000,8.386,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.386,0.000000,route_power,0.482798,0.000
2,custom,13.562,-0.600000,113.177,-0.294945,0.000000,0.380000,-0.517878,1.000,-1.715,14.449,8.000,180.000,0.000000,40.997,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_trail_brake,0.339912,0.000
3,custom,0.134,-0.860000,236.754,-0.594008,0.113588,0.000000,-0.587299,1.000,-3.199,12.024,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.206523,0.000
4,custom,9.989,-0.951000,350.322,-0.860000,0.000000,0.000000,-0.690228,1.000,-5.474,13.804,8.000,180.000,0.000000,37.573,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.158274,0.000
5,custom,5.945,-0.982850,393.714,-0.951000,0.077670,0.000000,-1.000000,1.000,-14.507,13.073,8.000,180.000,0.000000,35.000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.141218,0.000
6,custom,14.033,-0.993997,406.900,-0.982850,0.000000,0.380000,-1.000000,1.000,-30.588,14.534,8.000,180.000,0.000000,41.448,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_trail_brake,0.135229,0.000
7,custom,1.111,-0.997899,411.515,-0.993997,0.073222,0.000000,-1.000000,1.000,-42.711,12.201,8.000,180.000,0.000000,35.000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_power,0.133131,0.000
8,custom,6.229,-0.999265,413.130,-0.997899,0.000000,0.000000,-1.000000,1.000,-47.738,13.125,8.000,180.000,0.000000,35.000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.132396,0.000
9,custom,6.295,-0.999743,413.696,-0.999265,0.000000,0.000000,-1.000000,1.000,-56.860,13.137,8.000,180.000,0.000000,35.000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.132139,0.000
10,custom,6.097,-0.999910,413.893,-0.999743,0.000000,0.000000,-1.000000,1.000,-64.457,13.101,8.000,180.000,0.000000,35.000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0,160.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,8.000,0.000000,route_coast,0.132048,0.000
