tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.068,0.687,45.100,0.0624,0.000,0.9000,0.0000,0.0000,0.000,-2.250,-0.131,0.000,0
2,0.146,0.368,45.100,0.0931,11.536,0.9000,0.0000,0.0000,0.000,-2.250,-0.130,0.000,0
4,0.212,0.710,45.100,0.1086,24.425,0.9000,0.0000,0.0000,0.000,-2.250,-0.131,0.000,0
5,0.279,1.608,45.100,0.1172,36.485,0.9000,0.0000,0.0000,0.000,-2.250,-0.131,0.000,0
7,0.350,9.623,45.100,0.1214,47.562,0.9000,0.0000,0.0000,0.000,-2.250,-0.133,0.000,0
8,0.425,10.476,45.100,0.1227,54.616,0.9000,0.0000,0.0000,0.000,-2.250,-0.135,0.000,0
9,0.495,13.201,45.100,0.1224,55.197,0.9000,0.0000,0.0000,0.000,-2.250,-0.137,0.000,0
11,0.571,14.147,45.100,0.1304,55.068,0.8171,0.0000,0.0000,3.360,-2.250,-0.138,0.000,0
12,0.636,14.896,45.100,0.1347,58.669,0.7710,0.0000,0.0000,4.001,-2.250,-0.140,0.000,0
14,0.703,16.309,45.100,0.1337,60.631,0.7494,0.0000,0.0000,3.981,-2.250,-0.145,0.000,0
15,0.767,18.028,45.100,0.1325,60.173,0.6943,0.0000,0.0000,4.574,-2.250,-0.149,0.000,0
16,0.831,19.967,45.100,0.1275,59.619,0.6958,0.0000,0.0000,3.890,-2.250,-0.154,0.000,0
17,0.895,21.392,45.100,0.1229,57.375,0.6627,0.0000,0.0000,4.083,-2.250,-0.161,0.000,0
19,0.958,23.455,45.100,0.1142,55.319,0.6832,0.0000,0.0000,3.080,-2.250,-0.167,0.000,0
20,1.023,25.471,45.100,0.1061,51.386,0.6461,0.0000,0.0000,3.170,-2.250,-0.174,0.000,0
21,1.093,27.330,45.100,0.0979,47.762,0.6468,0.0000,0.0000,2.599,-2.250,-0.209,0.000,0
23,1.163,29.499,45.100,0.0864,44.054,0.6675,0.0000,0.0000,1.561,-2.250,-0.217,0.000,0
24,1.230,31.328,45.100,0.0767,38.881,0.6347,0.0000,0.0000,1.627,-2.250,-0.227,0.000,0
25,1.297,32.527,45.100,0.0666,34.528,0.6375,0.0000,0.0000,1.215,-2.250,-0.236,0.000,0
27,1.371,34.508,45.100,0.0577,29.980,0.6002,0.0000,0.0000,1.321,-2.250,-0.245,0.000,0
28,1.443,36.382,45.100,0.0481,25.985,0.5916,0.0000,0.0000,0.918,-2.250,-0.255,0.000,0
30,1.507,37.149,45.100,0.0387,21.666,0.5961,0.0000,0.0000,0.603,-2.250,-0.265,0.000,0
31,1.573,38.460,45.100,0.0298,17.398,0.5882,0.0000,0.0000,0.358,-2.250,-0.276,0.000,0
32,1.644,39.619,45.100,0.0219,13.396,0.5752,0.0000,0.0000,0.255,-2.250,-0.286,0.000,0
34,1.710,40.654,45.100,0.0147,9.835,0.5643,0.0000,0.0000,0.149,-2.250,-0.297,0.000,0
35,1.776,41.693,45.100,0.0076,6.619,0.5472,0.0000,0.0000,-0.158,-2.250,-0.308,0.000,0
36,1.846,42.479,45.100,0.0014,3.409,0.5293,0.0000,0.0000,-0.258,-2.250,-0.320,0.000,0
38,1.914,43.383,45.100,-0.0086,0.632,0.5008,0.0000,0.0000,-0.505,-2.057,-0.331,0.000,0
39,1.984,43.885,45.100,-0.0152,-3.863,0.4963,0.0000,0.0000,-0.438,-2.057,-0.344,0.000,0
41,2.050,44.316,45.100,-0.0209,-6.827,0.4696,0.0000,0.0000,-0.810,-2.057,-0.355,0.000,0
