tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,ai,1.222,0.000000,-48.600,0.098182,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
2,ai,0.569,0.000000,-104.400,0.191811,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
3,ai,1.856,0.000000,-106.837,0.194496,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
4,ai,1.850,0.000000,-108.239,0.196932,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
5,ai,2.068,0.000000,-108.739,0.197814,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
6,ai,2.170,0.000000,-108.694,0.197562,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
7,ai,2.538,0.000000,-108.578,0.197336,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
8,ai,3.945,0.000000,-107.977,0.196223,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
9,ai,11.692,0.000000,-107.297,0.195054,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
10,ai,10.833,0.000000,-107.120,0.194734,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
11,ai,3.958,0.000000,-106.565,0.193744,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
12,ai,5.828,0.000000,-105.730,0.192061,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
13,ai,6.928,0.000000,-104.312,0.189424,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
14,ai,7.168,0.000000,-102.920,0.186844,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
15,ai,10.265,0.000000,-101.273,0.183928,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
16,ai,9.734,0.000000,-99.641,0.180748,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
17,ai,8.981,0.000000,-97.587,0.177063,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
18,ai,8.200,0.000000,-95.536,0.173285,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
19,ai,11.439,0.000000,-93.704,0.169973,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
20,ai,11.300,0.000000,-91.923,0.166668,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
21,ai,12.928,0.000000,-89.809,0.162830,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
22,ai,12.704,0.000000,-87.427,0.158364,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
23,ai,12.245,0.000000,-84.759,0.153536,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
24,ai,12.795,0.000000,-82.101,0.148790,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
25,ai,12.848,0.000000,-79.445,0.143840,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
26,ai,13.235,0.000000,-76.640,0.138794,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
27,ai,14.807,0.000000,-73.854,0.133655,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
28,ai,18.616,0.000000,-70.835,0.128122,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
29,ai,15.175,0.000000,-67.409,0.121962,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
30,ai,17.055,0.000000,-63.799,0.115443,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
31,ai,17.562,0.000000,-60.081,0.108476,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
32,ai,18.811,0.000000,-56.500,0.102127,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
33,ai,19.499,0.000000,-53.001,0.095762,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
34,ai,20.264,0.000000,-49.449,0.089174,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
35,ai,20.565,0.000000,-45.434,0.081907,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
36,ai,21.832,0.000000,-41.557,0.074955,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
37,ai,22.203,0.000000,-37.659,0.067714,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
38,ai,22.952,0.000000,-33.603,0.060343,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
39,ai,23.579,0.000000,-29.497,0.052861,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
40,ai,24.329,0.000000,-25.547,0.045731,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
41,ai,25.136,0.000000,-21.491,0.038475,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
42,ai,25.837,0.000000,-17.482,0.031062,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
43,ai,27.230,0.000000,-13.352,0.023423,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
44,ai,27.630,0.000000,-9.098,0.015795,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
45,ai,28.379,0.000000,-4.912,0.008165,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
46,ai,29.170,0.000000,0.335,-0.001638,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
47,ai,29.978,0.000000,5.978,-0.011895,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
48,ai,30.854,0.000000,11.700,-0.022247,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
49,ai,31.879,0.000000,17.082,-0.032074,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
50,ai,33.018,0.000000,22.391,-0.041568,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
51,ai,34.266,0.000000,26.903,-0.049664,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
52,ai,34.872,0.000000,30.958,-0.056923,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
53,ai,35.370,0.000000,34.460,-0.063275,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
54,ai,36.774,0.000000,37.676,-0.069065,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
55,ai,37.642,0.000000,40.451,-0.073974,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
56,ai,37.656,0.000000,42.760,-0.078076,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
57,ai,39.286,0.000000,44.732,-0.081585,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
58,ai,40.186,0.000000,46.203,-0.084229,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
59,ai,40.457,0.000000,47.275,-0.086147,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
60,ai,41.658,0.000000,48.054,-0.087481,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
61,ai,42.438,0.000000,48.446,-0.088105,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
62,ai,43.243,0.000000,48.463,-0.088113,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
63,ai,43.870,0.000000,48.167,-0.087453,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
64,ai,44.772,0.000000,47.596,-0.086394,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
65,ai,45.618,0.000000,46.797,-0.084937,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
66,ai,46.290,0.000000,45.788,-0.083098,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
67,ai,46.869,0.000000,44.504,-0.080647,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
68,ai,47.770,0.000000,42.851,-0.077600,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
69,ai,48.422,0.000000,40.873,-0.073920,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
70,ai,49.201,0.000000,38.676,-0.069900,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
71,ai,50.143,0.000000,36.260,-0.065491,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
72,ai,51.138,0.000000,33.677,-0.060763,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
73,ai,51.525,0.000000,30.913,-0.055655,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
74,ai,52.385,0.000000,28.026,-0.050452,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
75,ai,53.286,0.000000,25.093,-0.045099,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
76,ai,53.989,0.000000,22.173,-0.039776,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
77,ai,55.018,0.000000,19.234,-0.034535,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
78,ai,55.519,0.000000,16.368,-0.029191,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
79,ai,56.301,0.000000,13.515,-0.024143,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
80,ai,56.933,0.000000,10.734,-0.019027,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
81,ai,57.719,0.000000,7.983,-0.013988,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
82,ai,58.410,0.000000,5.318,-0.009192,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
83,ai,59.048,0.000000,2.848,-0.004731,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
84,ai,59.910,0.000000,0.557,-0.000704,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
85,ai,60.727,0.000000,-1.600,0.003272,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
86,ai,61.558,0.000000,-3.677,0.007009,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000
