tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
1,imitate,0.007,0.059331,0.000,0.000000,0.600000,0.000000,0.377422,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.431250,0.348437,-0.028984,0.448437,0.652865,6,38.074,63.013,38.074,240.000,16.000,0.000000,0.090043,0.000000,0.000
2,imitate,19.310,0.074121,-32.632,0.059331,0.600000,0.000000,0.356211,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.425781,0.318750,-0.037461,0.389648,0.645312,6,38.074,68.196,38.074,98.671,16.000,0.000000,5.711875,0.000000,0.000
3,imitate,26.229,0.035040,-40.767,0.074121,0.486259,0.000000,0.230859,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.093750,0.304688,0.073828,-0.281641,0.582812,6,34.815,79.711,34.815,88.862,15.000,0.000000,6.146380,0.000000,0.000
4,imitate,30.078,0.021100,-19.272,0.035040,0.000000,0.000000,0.234414,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.114062,0.299219,0.064805,-0.291211,0.590885,6,31.556,79.066,31.556,240.000,14.000,0.000000,5.389702,0.000000,0.000
5,imitate,19.978,0.017804,-11.605,0.021100,0.600000,0.000000,0.216680,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.085156,0.287500,0.070820,-0.206445,0.601823,6,28.296,86.392,28.296,240.000,13.000,0.000000,1.729285,0.000000,0.000
6,imitate,27.467,0.016636,-9.839,0.017934,0.000000,0.568938,0.228555,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.113281,0.290625,0.062070,-0.236523,0.606771,6,21.778,83.914,21.778,59.694,11.000,0.000000,7.000244,0.000000,0.000
7,imitate,17.923,0.020498,-9.150,0.016636,0.000000,0.266366,0.203906,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.071875,0.275000,0.071094,-0.073828,0.684896,6,15.259,95.597,15.259,87.299,9.000,0.115765,6.196395,0.000000,0.000
8,imitate,13.208,0.021670,-11.274,0.020498,0.600000,0.000000,0.217617,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.082031,0.290625,0.073008,-0.121680,0.668229,6,80.000,92.487,240.000,240.000,47.000,0.042996,4.486714,0.000000,0.000
9,imitate,19.481,0.011980,-11.918,0.021670,0.600000,0.000000,0.186992,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.085938,0.241406,0.054414,-0.233789,0.540104,6,80.000,85.385,240.000,94.490,255.000,0.000000,5.940900,0.000000,0.000
10,imitate,26.964,-0.007100,-6.621,0.012091,0.600000,0.000000,0.057344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.245313,0.220313,0.162969,-0.844922,0.587760,6,39.872,39.872,240.000,93.766,255.000,0.000000,5.970743,0.000000,0.000
