tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
1,imitate,0.002,0.000000,0.000,0.000000,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,107.000,0.000000,0.193430,0.012657,2.500
2,imitate,0.602,0.000000,0.000,0.000000,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,107.000,0.000000,1.774613,0.012657,2.500
3,imitate,1.062,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,240.000,104.000,0.000000,4.417368,0.010885,2.500
4,imitate,3.762,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,240.000,112.000,0.000000,5.269604,0.005327,2.500
5,imitate,6.335,-0.012095,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,113.000,0.000000,4.332217,-0.033692,2.500
6,imitate,12.282,-0.011532,6.652,-0.012095,0.600000,0.000000,-0.001289,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,-0.001563,-0.000273,0.001367,0.863281,6,40.000,50.000,240.000,48.674,112.000,0.000000,5.801322,-0.027386,2.500
7,imitate,18.130,-0.058651,6.343,-0.011532,0.600000,0.000000,-0.072383,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.203906,-0.001563,0.070820,-0.354102,0.932552,6,38.858,38.858,240.000,240.000,111.000,0.000000,5.497112,-0.059088,2.500
8,imitate,23.768,-0.063790,32.258,-0.058651,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,49.353,110.000,0.000000,5.709091,-0.075340,2.500
9,imitate,30.491,-0.072765,36.821,-0.067488,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,41.476,109.000,0.000000,6.327682,-0.084956,2.500
10,imitate,37.207,-0.045168,44.745,-0.081782,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,42.899,108.000,0.000000,6.242820,-0.043884,2.500
11,imitate,44.258,-0.110742,30.357,-0.055449,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,46.795,106.000,0.000000,5.977795,-0.144709,2.500
12,imitate,50.549,-0.094482,68.088,-0.123015,0.000000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,104.000,0.000000,5.244932,-0.092160,2.500
13,imitate,47.444,-0.086140,56.484,-0.102769,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,101.000,0.000000,2.129110,-0.088485,2.500
14,imitate,54.473,-0.110998,49.520,-0.089699,0.000000,0.447336,0.014414,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.023438,0.009023,0.042383,0.855469,6,40.000,49.779,240.000,240.000,255.000,0.000000,4.670002,-0.131879,2.500
15,imitate,45.253,-0.113180,64.408,-0.116764,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863281,6,40.000,50.000,240.000,240.000,228.000,0.000000,5.493757,-0.116976,2.500
