tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,sensor,0.019,-0.240000,0.000,0.000000,0.600000,0.000000,-0.215937,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.614062,-0.001563,0.214375,-0.060156,0.795833,6,48.000,55.984,240.000,240.000,103.000,0.000000,0.239379,0.016
2,sensor,16.151,-0.325548,98.208,-0.240000,0.000000,1.000000,-0.217578,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.618750,-0.001563,0.216016,-0.057422,0.794271,6,20.350,56.046,240.000,20.350,107.000,0.000000,8.048509,0.016
3,sensor,0.644,-0.358722,134.777,-0.325548,0.600000,0.000000,-0.212930,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.605469,-0.001563,0.211367,-0.075195,0.798698,6,12.000,55.484,240.000,12.000,102.000,0.000000,10.762456,0.016
4,sensor,32.156,-0.365853,148.511,-0.358722,0.000000,1.000000,-0.217578,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.618750,-0.001563,0.216016,-0.054688,0.794271,6,21.031,56.147,240.000,21.031,112.000,0.000000,7.985221,0.016
5,sensor,0.130,-0.372728,151.463,-0.365853,0.600000,0.000000,-0.214023,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.608594,-0.001563,0.212461,-0.072461,0.797656,6,12.000,55.563,240.000,12.000,102.000,0.000000,9.735765,0.016
6,sensor,34.537,-0.372203,154.309,-0.372728,0.000000,1.000000,-0.215391,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.612500,-0.001563,0.213828,-0.062891,0.796354,6,18.244,55.895,240.000,18.244,111.000,0.000000,8.262052,0.016
7,sensor,0.026,-0.368244,154.092,-0.372203,0.600000,0.000000,-0.212383,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.603906,-0.001563,0.210820,-0.061523,0.799219,6,12.000,56.020,240.000,12.000,102.000,0.000000,10.957539,0.016
8,sensor,36.724,-0.367531,152.453,-0.368244,0.000000,1.000000,-0.211836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.602344,-0.001563,0.210273,-0.064258,0.799740,6,19.014,55.931,240.000,19.014,111.000,0.000000,8.180500,0.016
9,sensor,0.141,-0.350227,152.158,-0.367531,0.600000,0.000000,-0.207461,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.589844,-0.001563,0.205898,-0.036914,0.803906,6,12.000,57.001,240.000,12.000,110.000,0.000000,9.820733,0.016
10,sensor,38.106,-0.355286,144.994,-0.350227,0.000000,1.000000,-0.198437,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.564063,-0.001563,0.196875,-0.082031,0.812500,6,16.965,55.586,240.000,16.965,111.000,0.000000,8.407858,0.016
11,sensor,0.048,-0.377787,147.088,-0.355286,0.600000,0.000000,-0.206914,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.588281,-0.001563,0.205352,-0.108008,0.804427,6,12.048,54.303,240.000,12.048,111.000,0.000000,9.142445,0.016
12,sensor,39.516,-0.335072,156.404,-0.377787,0.000000,1.000000,-0.194336,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.552344,-0.001563,0.192773,-0.025977,0.816406,6,14.861,57.618,240.000,14.861,110.000,0.000000,8.681902,0.016
13,sensor,2.444,-0.325388,138.720,-0.335072,0.600000,0.000000,-0.208281,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.592188,-0.001563,0.206719,-0.005469,0.803125,6,12.000,57.950,240.000,12.000,156.000,0.000000,10.412914,0.016
14,sensor,40.582,-0.475942,134.710,-0.325388,0.000000,1.000000,-0.113672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.321875,-0.001563,0.112109,-0.560547,0.893229,6,12.945,34.925,240.000,12.945,255.000,0.000000,8.980956,0.016
15,sensor,4.390,-0.384816,197.040,-0.475942,0.600000,0.000000,-0.187852,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.567187,0.016406,0.204258,-0.088867,0.805469,6,12.000,55.344,240.000,12.000,247.000,0.000000,10.262602,0.016
16,sensor,40.951,-0.226111,159.314,-0.384816,0.000000,1.000000,-0.002812,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.305469,0.160156,0.162969,-0.350000,0.844792,6,12.000,46.277,240.000,12.000,255.000,0.000000,9.375015,0.016
17,sensor,0.436,0.000000,93.610,-0.225931,0.000000,1.000000,0.172266,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.563281,-0.038281,-0.210547,0.166797,0.547656,6,12.000,52.051,240.000,12.000,242.000,0.000000,72.606194,2080.276
