tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,sensor,0.000,0.000000,0.000,0.000000,0.000000,1.000000,0.052031,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.151562,-0.001563,-0.153125,1.000000,0.744271,6,18.000,18.000,19.037,240.000,13.000,0.114261,0.001489,0.000
2,sensor,1.661,0.000000,0.000,0.000000,0.000000,1.000000,0.052305,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.152344,-0.001563,-0.153906,1.000000,0.742448,6,18.000,18.000,19.037,240.000,13.000,0.116674,2.178332,0.000
3,sensor,4.395,0.000000,0.000,0.000000,0.000000,1.000000,0.053672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.156250,-0.001563,-0.157812,-1.000000,0.753906,6,17.630,18.000,17.630,240.000,12.000,0.126684,2.050458,0.000
4,sensor,7.483,0.000000,0.000,0.000000,0.000000,1.000000,0.053125,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.154687,-0.001563,-0.156250,1.000000,0.842708,6,17.630,18.000,17.630,240.000,12.000,0.124192,2.834229,0.000
5,sensor,13.640,0.000000,0.000,0.000000,0.000000,1.000000,0.118477,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.341406,-0.001563,-0.342969,-1.000000,0.780729,6,17.630,18.000,17.630,240.000,12.000,0.124226,3.489169,0.000
6,sensor,20.643,0.000000,0.000,0.000000,0.000000,1.000000,0.119023,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.342969,-0.001563,-0.344531,-1.000000,0.760938,6,17.630,18.000,17.630,240.000,12.000,0.126728,4.553269,0.000
7,sensor,30.545,0.000000,0.000,0.000000,0.000000,1.000000,0.118477,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.341406,-0.001563,-0.342969,-1.000000,0.780990,6,17.630,18.000,17.630,240.000,12.000,0.124405,4.446742,0.000
8,sensor,37.902,0.000000,0.059,-0.000076,0.000000,1.000000,0.104805,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.302344,-0.001563,-0.303906,-1.000000,0.793750,6,17.630,18.000,17.630,240.000,12.000,0.121391,4.397409,0.000
9,sensor,41.477,0.000000,0.347,-0.000542,0.000000,1.000000,0.128047,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.368750,-0.001563,-0.370313,-0.766471,0.771615,6,16.222,18.000,16.222,240.000,11.000,0.142190,4.325840,0.000
10,sensor,43.175,0.000000,-0.076,-0.000137,0.000000,1.000000,0.046562,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.135937,-0.001563,-0.137500,1.000000,0.637760,6,17.630,18.000,17.630,240.000,12.000,0.127912,5.221511,0.000
11,sensor,46.399,0.000000,-0.142,0.000748,0.000000,1.000000,0.127500,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.367188,-0.001563,-0.368750,-0.774385,0.772135,6,16.222,18.000,16.222,240.000,11.000,0.146478,4.847437,0.000
12,sensor,51.254,0.000000,0.898,-0.001326,0.000000,1.000000,-0.008672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.160937,-0.100000,-0.260937,-1.000000,0.525521,6,16.222,18.000,16.222,240.000,11.000,0.157376,3.832772,0.000
