tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,sensor,0.016,0.119420,0.000,0.000000,0.600000,0.000000,0.052031,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.151562,-0.001563,-0.153125,0.267969,0.744271,6,18.000,18.000,240.000,240.000,255.000,0.000000,0.009843,0.000
2,sensor,0.444,0.161217,-21.723,0.046787,0.600000,0.000000,0.052031,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.151562,-0.001563,-0.153125,0.267969,0.744010,6,18.000,18.000,240.000,240.000,255.000,0.000000,1.259463,0.000
3,sensor,1.296,0.173782,-44.543,0.091226,0.600000,0.000000,0.051211,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.149219,-0.001563,-0.150781,0.263867,0.745052,6,18.000,18.000,240.000,240.000,255.000,0.000000,2.926695,0.000
4,sensor,2.204,0.176803,-64.453,0.129862,0.600000,0.000000,0.050664,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.147656,-0.001563,-0.149219,0.261133,0.745313,6,18.000,18.000,240.000,240.000,255.000,0.000000,3.350465,0.000
5,sensor,2.991,0.146899,-81.472,0.162791,0.600000,0.000000,0.043008,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.146094,-0.012500,-0.158594,0.239258,0.742708,6,18.880,18.880,240.000,240.000,255.000,0.000000,3.092529,0.000
6,sensor,4.117,0.133631,-74.918,0.146899,0.600000,0.000000,0.042227,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.145312,-0.013281,-0.158594,0.236523,0.771875,6,19.069,19.069,240.000,240.000,255.000,0.000000,3.237610,0.000
7,sensor,4.835,0.119159,-68.152,0.133631,0.600000,0.000000,0.039648,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.143750,-0.016406,-0.160156,0.228320,0.740885,6,19.575,19.575,240.000,240.000,255.000,0.000000,2.795851,0.000
8,sensor,5.769,0.112717,-60.771,0.119159,0.600000,0.000000,0.039102,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.142187,-0.016406,-0.158594,0.225586,0.772396,6,19.846,19.846,240.000,240.000,255.000,0.000000,2.540990,0.000
9,sensor,6.505,0.110462,-57.485,0.112717,0.600000,0.000000,0.039102,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.142187,-0.016406,-0.158594,0.225586,0.772396,6,19.846,19.846,240.000,240.000,255.000,0.000000,2.350978,0.000
10,sensor,7.321,0.111786,-56.336,0.110462,0.600000,0.000000,0.039609,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.142187,-0.015625,-0.157812,0.226953,0.772917,6,19.784,19.784,240.000,240.000,255.000,0.000000,2.362172,0.000
11,sensor,7.874,0.115051,-57.011,0.111786,0.600000,0.000000,0.040391,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.142969,-0.014844,-0.157812,0.229688,0.773438,6,19.587,19.587,240.000,240.000,255.000,0.000000,2.297926,0.000
12,sensor,8.469,0.113392,-58.676,0.115051,0.600000,0.000000,0.039609,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.142187,-0.015625,-0.157812,0.226953,0.774219,6,19.784,19.784,240.000,240.000,255.000,0.000000,2.147120,0.000
13,sensor,9.162,0.109322,-57.830,0.113392,0.600000,0.000000,0.038555,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.140625,-0.016406,-0.157031,0.222852,0.775260,6,20.121,20.121,240.000,240.000,93.000,0.000000,1.990506,0.000
14,sensor,9.842,0.107897,-55.754,0.109322,0.600000,0.000000,0.038555,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.140625,-0.016406,-0.157031,0.222852,0.775260,6,20.121,20.121,240.000,240.000,93.000,0.000000,1.736336,0.000
15,sensor,10.140,0.090493,-55.028,0.107897,0.600000,0.000000,0.034492,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.140625,-0.022656,-0.163281,0.211914,0.840885,6,20.634,20.634,240.000,240.000,83.000,0.000000,2.126563,0.000
16,sensor,10.723,0.079487,-46.152,0.090493,0.600000,0.000000,0.033203,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139844,-0.024219,-0.164062,0.207813,0.775000,6,20.910,20.910,240.000,240.000,79.000,0.000000,1.933242,0.000
17,sensor,11.277,0.079862,-40.539,0.079487,0.600000,0.000000,0.034219,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139844,-0.022656,-0.162500,0.210547,0.839844,6,20.778,20.778,240.000,240.000,79.000,0.000000,1.704327,0.000
18,sensor,11.802,0.079993,-40.729,0.079862,0.600000,0.000000,0.034219,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139844,-0.022656,-0.162500,0.210547,0.839844,6,20.778,20.778,240.000,240.000,79.000,0.000000,1.861911,0.000
19,sensor,12.264,0.065983,-40.796,0.079993,0.600000,0.000000,0.030625,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.138281,-0.027344,-0.165625,0.199609,0.838021,6,21.473,21.473,240.000,240.000,78.000,0.000000,1.801055,0.000
20,sensor,12.865,0.070221,-33.651,0.065983,0.600000,0.000000,0.032930,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139062,-0.024219,-0.163281,0.206445,0.838542,6,21.055,21.055,240.000,240.000,78.000,0.000000,2.210813,0.000
21,sensor,13.555,0.042216,-35.812,0.070221,0.600000,0.000000,0.025195,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.134375,-0.033594,-0.167969,0.181836,0.794271,6,22.810,22.810,240.000,240.000,76.000,0.000000,2.303761,0.000
22,sensor,14.109,-0.040698,-21.530,0.042216,0.000000,1.000000,-0.103047,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.133594,-0.230469,-0.364062,0.533203,0.754427,6,18.000,18.000,240.000,240.000,75.000,0.000000,2.337998,0.000
23,sensor,5.333,-0.083223,6.242,-0.015248,0.600000,0.000000,-0.107109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.133594,-0.236719,-0.370312,0.527734,0.727865,6,18.000,18.000,240.000,240.000,76.000,0.000000,5.307318,0.000
24,sensor,12.049,-0.098107,22.836,-0.047795,0.000000,1.000000,-0.107109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.133594,-0.236719,-0.370312,0.527734,0.727865,6,18.000,18.000,240.000,240.000,76.000,0.000000,0.044300,0.000
25,sensor,5.986,0.045272,38.280,-0.077822,0.600000,0.000000,0.040195,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.135156,-0.010938,-0.146094,0.222852,0.736719,6,20.660,20.660,240.000,44.619,75.000,0.000000,6.134051,0.000
26,sensor,11.024,0.122878,2.684,0.002137,0.000000,1.000000,0.047109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.137500,-0.001563,-0.139062,0.243359,0.848698,6,19.488,19.488,240.000,240.000,74.000,0.000000,0.113382,0.000
27,sensor,4.109,0.101436,-20.593,0.044406,0.600000,0.000000,0.035430,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.137500,-0.019531,-0.157031,0.211914,0.842969,6,20.949,20.949,240.000,40.641,74.000,0.000000,6.376117,0.000
28,sensor,9.525,0.105874,-38.788,0.079148,0.000000,1.000000,0.038516,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139062,-0.015625,-0.154687,0.221484,0.843229,6,20.337,20.337,240.000,240.000,74.000,0.000000,0.125918,0.000
29,sensor,3.415,0.107428,-53.996,0.105874,0.600000,0.000000,0.038516,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.139062,-0.015625,-0.154687,0.221484,0.843229,6,20.337,20.337,240.000,45.267,74.000,0.000000,6.090367,0.000
