tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.167,0.000000,0.000,0.000000,0.600000,0.000000,-0.000290,1.000,-0.021,12.030,44.000,180.000,0.000031,35.000,0,0.000
2,custom,0.416,0.000000,0.000,0.000000,0.600000,0.000000,-0.000329,1.000,-0.022,12.075,44.000,180.000,0.000031,35.000,0,0.000
3,custom,0.328,0.000000,0.000,0.000000,0.600000,0.000000,-0.000335,1.000,-0.023,12.059,44.000,180.000,0.000031,35.000,0,0.000
4,custom,1.219,0.000000,0.000,0.000000,0.600000,0.000000,-0.000357,1.000,-0.025,12.220,44.000,180.000,0.000031,35.000,0,0.000
5,custom,2.065,0.000000,0.000,0.000000,0.600000,0.000000,-0.000554,1.000,-0.031,12.373,44.000,180.000,0.000031,35.000,0,0.000
6,custom,3.005,0.000000,0.000,0.000000,0.600000,0.000000,-0.000469,1.000,-0.029,12.542,44.000,180.000,0.000031,35.000,0,0.000
7,custom,3.749,0.000000,0.000,0.000000,0.600000,0.000000,-0.000280,1.000,-0.022,12.677,44.000,180.000,0.000031,35.000,0,0.000
8,custom,4.554,0.000000,0.000,0.000000,0.600000,0.000000,-0.000571,1.000,-0.031,12.822,44.000,180.000,0.000031,35.000,0,0.000
9,custom,5.489,0.000000,0.000,0.000000,0.600000,0.000000,-0.000637,1.000,-0.034,12.991,44.000,180.000,0.000031,35.000,0,0.000
10,custom,6.126,0.000000,0.000,0.000000,0.600000,0.000000,-0.000431,1.000,-0.027,13.106,44.000,180.000,0.000031,35.000,0,0.000
11,custom,6.707,0.000000,0.000,0.000000,0.600000,0.000000,-0.000454,1.000,-0.028,13.211,44.000,180.000,0.000031,35.000,0,0.000
12,custom,7.341,0.000000,0.000,0.000000,0.600000,0.000000,-0.000455,1.000,-0.028,13.325,44.000,180.000,0.000031,35.035,0,0.000
13,custom,7.966,0.000000,0.000,0.000000,0.600000,0.000000,-0.000371,1.000,-0.025,13.438,44.000,180.000,0.000031,35.634,0,0.000
