tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.222,0.000000,0.000,0.000000,0.600000,0.000000,-0.000285,1.000,-0.021,12.040,30.000,180.000,0.000031,35.000,0,0.000
2,custom,0.443,0.000000,0.000,0.000000,0.600000,0.000000,-0.000351,1.000,-0.023,12.080,30.000,180.000,0.000031,35.000,0,0.000
3,custom,0.255,0.000000,0.000,0.000000,0.600000,0.000000,-0.000296,1.000,-0.022,12.046,30.000,180.000,0.000031,35.000,0,0.000
4,custom,1.152,0.000000,0.000,0.000000,0.600000,0.000000,-0.000199,1.000,-0.018,12.208,30.000,180.000,0.000031,35.000,0,0.000
5,custom,1.974,0.000000,0.000,0.000000,0.600000,0.000000,-0.000537,1.000,-0.031,12.357,30.000,180.000,0.000031,35.000,0,0.000
6,custom,2.837,0.000000,0.000,0.000000,0.600000,0.000000,-0.000644,1.000,-0.034,12.512,30.000,180.000,0.000031,35.000,0,0.000
7,custom,3.670,0.000000,0.000,0.000000,0.600000,0.000000,-0.000332,1.000,-0.024,12.663,30.000,180.000,0.000031,35.000,0,0.000
8,custom,4.397,0.000000,0.000,0.000000,0.600000,0.000000,-0.000491,1.000,-0.029,12.794,30.000,180.000,0.000031,35.000,0,0.000
9,custom,5.061,0.000000,0.000,0.000000,0.600000,0.000000,-0.000698,1.000,-0.035,12.914,30.000,180.000,0.000031,35.000,0,0.000
10,custom,6.008,0.000000,0.000,0.000000,0.600000,0.000000,-0.000565,1.000,-0.031,13.085,30.000,180.000,0.000031,35.000,0,0.000
11,custom,6.328,0.000000,0.000,0.000000,0.600000,0.000000,-0.000457,1.000,-0.028,13.143,30.000,180.000,0.000031,35.000,0,0.000
12,custom,6.868,0.000000,0.000,0.000000,0.600000,0.000000,-0.000497,1.000,-0.029,13.240,30.000,180.000,0.000031,35.000,0,0.000
13,custom,7.664,0.000000,0.000,0.000000,0.600000,0.000000,-0.000478,1.000,-0.029,13.384,30.000,180.000,0.000031,35.344,0,0.000
14,custom,8.314,0.000000,0.000,0.000000,0.600000,0.000000,-0.000360,1.000,-0.025,13.501,30.000,180.000,0.000031,35.968,0,0.000
15,custom,8.795,0.000000,0.000,0.000000,0.600000,0.000000,-0.000292,1.000,-0.022,13.588,30.000,180.000,0.000031,36.429,0,0.000
16,custom,9.259,0.000000,0.000,0.000000,0.600000,0.000000,-0.000422,1.000,-0.026,13.672,30.000,180.000,0.000031,36.873,1,0.000
17,custom,9.763,0.000000,0.000,0.000000,0.600000,0.000000,-0.000305,1.000,-0.023,13.763,30.000,180.000,0.000031,37.356,1,0.000
18,custom,10.051,0.000000,0.000,0.000000,0.600000,0.000000,-0.000224,1.000,-0.020,13.815,30.000,180.000,0.000031,37.632,1,0.000
19,custom,10.876,0.000000,0.000,0.000000,0.600000,0.000000,-0.000277,1.000,-0.022,13.964,30.000,180.000,0.000031,38.422,1,0.000
20,custom,11.123,0.000000,0.000,0.000000,0.600000,0.000000,-0.000124,1.000,-0.017,14.008,30.000,180.000,0.000031,38.660,1,0.000
21,custom,11.950,0.000000,0.000,0.000000,0.600000,0.000000,-0.000150,1.000,-0.018,14.158,30.000,180.000,0.000031,39.452,1,0.000
22,custom,11.837,0.000000,0.000,0.000000,0.600000,0.000000,-0.000039,1.000,-0.014,14.137,30.000,180.000,0.000031,39.343,1,0.000
23,custom,12.582,0.000000,0.000,0.000000,0.600000,0.000000,0.000035,1.000,-0.012,14.272,30.000,180.000,0.000031,40.057,1,0.000
24,custom,12.986,0.000000,0.000,0.000000,0.600000,0.000000,0.000095,1.000,-0.010,14.345,30.000,180.000,0.000031,40.445,1,0.000
25,custom,13.651,0.000000,0.000,0.000000,0.600000,0.000000,0.000174,1.000,-0.007,14.465,30.000,180.000,0.000031,41.083,1,0.000
26,custom,14.412,0.000000,0.000,0.000000,0.600000,0.000000,0.000306,1.000,-0.003,14.602,30.000,180.000,0.000031,41.812,1,0.000
27,custom,15.518,0.000000,0.000,0.000000,0.600000,0.000000,0.000324,1.000,-0.004,14.802,30.000,180.000,0.000029,42.872,2,0.000
28,custom,15.820,0.000000,0.000,0.000000,0.600000,0.000000,0.000507,1.000,0.002,14.856,30.000,180.000,0.000029,43.161,2,0.000
29,custom,17.265,0.000000,0.000,0.000000,0.600000,0.000000,0.000731,1.000,0.006,15.117,30.000,180.000,0.000029,44.546,2,0.000
30,custom,17.379,0.000000,0.000,0.000000,0.600000,0.000000,0.000898,1.000,0.010,15.138,30.000,180.000,0.000029,44.655,2,0.000
31,custom,18.791,0.000000,0.000,0.000000,0.600000,0.000000,0.001114,1.000,0.016,15.393,30.000,180.000,0.000029,46.008,2,0.000
