tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.256,0.000000,0.000,0.000000,0.600000,0.000000,-0.000279,1.000,-0.020,12.046,45.000,180.000,0.000031,35.000,0,0.000
2,custom,0.282,0.000000,0.000,0.000000,0.600000,0.000000,-0.000347,1.000,-0.023,12.051,45.000,180.000,0.000031,35.000,0,0.000
3,custom,0.470,0.000000,0.000,0.000000,0.600000,0.000000,-0.000259,1.000,-0.020,12.085,45.000,180.000,0.000031,35.000,0,0.000
4,custom,1.399,0.000000,0.000,0.000000,0.600000,0.000000,-0.000340,1.000,-0.025,12.253,45.000,180.000,0.000031,35.000,0,0.000
5,custom,2.209,0.000000,0.000,0.000000,0.600000,0.000000,-0.000598,1.000,-0.032,12.399,45.000,180.000,0.000031,35.000,0,0.000
6,custom,3.052,0.000000,0.000,0.000000,0.600000,0.000000,-0.000550,1.000,-0.031,12.551,45.000,180.000,0.000031,35.000,0,0.000
7,custom,3.751,0.000000,0.000,0.000000,0.600000,0.000000,-0.000302,1.000,-0.023,12.677,45.000,180.000,0.000031,35.000,0,0.000
8,custom,4.512,0.000000,0.000,0.000000,0.600000,0.000000,-0.000589,1.000,-0.032,12.815,45.000,180.000,0.000031,35.000,0,0.000
9,custom,5.529,0.000000,0.000,0.000000,0.600000,0.000000,-0.000688,1.000,-0.035,12.998,45.000,180.000,0.000031,35.000,0,0.000
10,custom,6.445,0.000000,0.000,0.000000,0.600000,0.000000,-0.000448,1.000,-0.027,13.164,45.000,180.000,0.000031,35.000,0,0.000
11,custom,7.089,0.000000,0.000,0.000000,0.600000,0.000000,-0.000479,1.000,-0.029,13.280,45.000,180.000,0.000031,35.000,0,0.000
12,custom,7.660,0.000000,0.000,0.000000,0.600000,0.000000,-0.000470,1.000,-0.028,13.383,45.000,180.000,0.000031,35.341,0,0.000
13,custom,8.625,0.000000,0.000,0.000000,0.600000,0.000000,-0.000351,1.000,-0.024,13.557,45.000,180.000,0.000031,36.265,0,0.000
14,custom,8.889,0.000000,0.000,0.000000,0.600000,0.000000,-0.000302,1.000,-0.022,13.605,45.000,180.000,0.000031,36.519,0,0.000
15,custom,9.422,0.000000,0.000,0.000000,0.600000,0.000000,-0.000368,1.000,-0.025,13.701,45.000,180.000,0.000031,37.030,1,0.000
16,custom,9.762,0.000000,0.000,0.000000,0.600000,0.000000,-0.000273,1.000,-0.022,13.763,45.000,180.000,0.000031,37.355,1,0.000
17,custom,10.484,0.000000,0.000,0.000000,0.600000,0.000000,-0.000243,1.000,-0.021,13.893,45.000,180.000,0.000031,38.047,1,0.000
18,custom,10.750,0.000000,0.000,0.000000,0.600000,0.000000,-0.000174,1.000,-0.019,13.941,45.000,180.000,0.000031,38.303,1,0.000
19,custom,11.510,0.000000,0.000,0.000000,0.600000,0.000000,-0.000154,1.000,-0.018,14.078,45.000,180.000,0.000031,39.031,1,0.000
20,custom,11.964,0.000000,0.000,0.000000,0.600000,0.000000,-0.000092,1.000,-0.016,14.160,45.000,180.000,0.000031,39.466,1,0.000
21,custom,12.093,0.000000,0.000,0.000000,0.600000,0.000000,-0.000005,1.000,-0.013,14.183,45.000,180.000,0.000031,39.589,1,0.000
