tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.256,0.000000,0.000,0.000000,0.600000,0.000000,-0.000283,1.000,-0.021,12.046,45.000,180.000,0.000031,35.000,0,0.000
2,custom,0.139,0.000000,0.000,0.000000,0.600000,0.000000,-0.000334,1.000,-0.023,12.025,45.000,180.000,0.000031,35.000,0,0.000
3,custom,0.428,0.000000,0.000,0.000000,0.600000,0.000000,-0.000226,1.000,-0.019,12.077,45.000,180.000,0.000031,35.000,0,0.000
4,custom,1.361,0.000000,0.000,0.000000,0.600000,0.000000,-0.000299,1.000,-0.024,12.246,45.000,180.000,0.000031,35.000,0,0.000
5,custom,2.216,0.000000,0.000,0.000000,0.600000,0.000000,-0.000592,1.000,-0.032,12.400,45.000,180.000,0.000031,35.000,0,0.000
6,custom,3.046,0.000000,0.000,0.000000,0.600000,0.000000,-0.000551,1.000,-0.031,12.550,45.000,180.000,0.000031,35.000,0,0.000
7,custom,3.760,0.000000,0.000,0.000000,0.600000,0.000000,-0.000283,1.000,-0.022,12.679,45.000,180.000,0.000031,35.000,0,0.000
8,custom,4.603,0.000000,0.000,0.000000,0.600000,0.000000,-0.000594,1.000,-0.032,12.831,45.000,180.000,0.000031,35.000,0,0.000
9,custom,5.520,0.000000,0.000,0.000000,0.600000,0.000000,-0.000671,1.000,-0.035,12.997,45.000,180.000,0.000031,35.000,0,0.000
10,custom,6.297,0.000000,0.000,0.000000,0.600000,0.000000,-0.000455,1.000,-0.028,13.137,45.000,180.000,0.000031,35.000,0,0.000
11,custom,6.772,0.000000,0.000,0.000000,0.600000,0.000000,-0.000490,1.000,-0.029,13.223,45.000,180.000,0.000031,35.000,0,0.000
12,custom,7.385,0.000000,0.000,0.000000,0.600000,0.000000,-0.000500,1.000,-0.029,13.333,45.000,180.000,0.000031,35.077,0,0.000
