tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.118,0.000000,0.000,0.000000,0.600000,0.000000,-0.000863,1.000,-0.036,12.021,45.000,180.000,0.000021,35.000,0,0.000
2,custom,0.371,0.000000,0.000,0.000000,0.600000,0.000000,-0.001062,1.000,-0.039,12.067,45.000,180.000,0.000021,35.000,0,0.000
3,custom,0.386,0.000000,0.000,0.000000,0.600000,0.000000,-0.001168,1.000,-0.042,12.070,45.000,180.000,0.000021,35.000,0,0.000
4,custom,1.202,0.000000,0.000,0.000000,0.600000,0.000000,-0.000881,1.000,-0.036,12.217,45.000,180.000,0.000021,35.000,0,0.000
5,custom,2.053,0.000000,0.000,0.000000,0.600000,0.000000,-0.001148,1.000,-0.042,12.371,45.000,180.000,0.000021,35.000,0,0.000
6,custom,2.925,0.000000,0.000,0.000000,0.600000,0.000000,-0.001156,1.000,-0.042,12.528,45.000,180.000,0.000021,35.000,0,0.000
7,custom,3.600,0.000000,0.000,0.000000,0.600000,0.000000,-0.000808,1.000,-0.034,12.650,45.000,180.000,0.000021,35.000,0,0.000
8,custom,4.351,0.000000,0.000,0.000000,0.600000,0.000000,-0.001094,1.000,-0.040,12.786,45.000,180.000,0.000021,35.000,0,0.000
9,custom,5.289,0.000000,0.000,0.000000,0.600000,0.000000,-0.001389,1.000,-0.047,12.955,45.000,180.000,0.000021,35.000,0,0.000
10,custom,5.906,0.000000,0.000,0.000000,0.600000,0.000000,-0.001045,1.000,-0.039,13.066,45.000,180.000,0.000021,35.000,0,0.000
11,custom,6.673,0.000000,0.000,0.000000,0.600000,0.000000,-0.000963,1.000,-0.037,13.205,45.000,180.000,0.000021,35.000,0,0.000
12,custom,7.354,0.000000,0.000,0.000000,0.600000,0.000000,-0.001037,1.000,-0.039,13.328,45.000,180.000,0.000021,35.047,0,0.000
13,custom,8.071,0.000000,0.000,0.000000,0.600000,0.000000,-0.000999,1.000,-0.038,13.457,45.000,180.000,0.000021,35.735,0,0.000
14,custom,8.276,0.000000,0.000,0.000000,0.600000,0.000000,-0.000881,1.000,-0.035,13.494,45.000,180.000,0.000021,35.931,0,0.000
15,custom,8.849,0.000000,0.000,0.000000,0.600000,0.000000,-0.000855,1.000,-0.035,13.598,45.000,180.000,0.000021,36.480,0,0.000
16,custom,9.388,0.000000,0.000,0.000000,0.600000,0.000000,-0.000769,1.000,-0.033,13.695,45.000,180.000,0.000021,36.996,0,0.000
17,custom,9.687,0.000000,0.000,0.000000,0.600000,0.000000,-0.000610,1.000,-0.029,13.749,45.000,180.000,0.000021,37.283,0,0.000
18,custom,10.469,0.000000,0.000,0.000000,0.600000,0.000000,-0.000589,1.000,-0.028,13.890,45.000,180.000,0.000021,38.033,0,0.000
19,custom,10.742,0.000000,0.000,0.000000,0.600000,0.000000,-0.000394,1.000,-0.023,13.940,45.000,180.000,0.000021,38.295,0,0.000
20,custom,11.511,0.000000,0.000,0.000000,0.600000,0.000000,-0.001223,1.000,-0.026,14.078,45.000,180.000,0.000010,39.032,1,0.000
21,custom,11.536,0.000000,0.000,0.000000,0.600000,0.000000,-0.001060,1.000,-0.024,14.083,45.000,180.000,0.000010,39.056,1,0.000
22,custom,12.116,0.000000,0.000,0.000000,0.600000,0.000000,-0.000972,1.000,-0.022,14.188,45.000,180.000,0.000010,39.611,1,0.000
23,custom,12.869,0.000000,0.000,0.000000,0.600000,0.000000,-0.000785,1.000,-0.019,14.324,45.000,180.000,0.000010,40.333,1,0.000
24,custom,13.536,0.000000,0.000,0.000000,0.600000,0.000000,-0.000646,1.000,-0.017,14.444,45.000,180.000,0.000010,40.972,1,0.000
25,custom,13.895,0.000000,0.000,0.000000,0.600000,0.000000,-0.000511,1.000,-0.015,14.509,45.000,180.000,0.000010,41.316,1,0.000
26,custom,14.536,0.000000,0.000,0.000000,0.600000,0.000000,-0.000305,1.000,-0.011,14.625,45.000,180.000,0.000010,41.931,1,0.000
27,custom,15.406,0.000000,0.000,0.000000,0.600000,0.000000,-0.000167,1.000,-0.009,14.782,45.000,180.000,0.000010,42.764,1,0.000
28,custom,15.678,0.000000,0.000,0.000000,0.600000,0.000000,-0.000016,1.000,-0.006,14.831,45.000,180.000,0.000010,43.025,1,0.000
29,custom,16.540,0.000000,0.000,0.000000,0.600000,0.000000,0.000288,1.000,-0.001,14.986,45.000,180.000,0.000010,43.851,1,0.000
30,custom,17.531,0.000000,0.000,0.000000,0.600000,0.000000,0.000654,1.000,0.005,15.165,45.000,180.000,0.000010,44.801,1,0.000
31,custom,18.682,0.000000,0.000,0.000000,0.600000,0.000000,0.000912,1.000,0.010,15.373,45.000,180.000,0.000010,45.904,1,0.000
32,custom,19.092,0.000000,0.000,0.000000,0.600000,0.000000,0.001254,1.000,0.016,15.447,45.000,180.000,0.000010,46.297,1,0.000
33,custom,20.382,0.000000,0.000,0.000000,0.600000,0.000000,0.001567,1.000,0.022,15.680,45.000,180.000,0.000010,47.532,1,0.000
34,custom,21.799,0.000000,0.000,0.000000,0.600000,0.000000,0.001770,1.000,0.025,15.936,45.000,180.000,0.000010,48.891,1,0.000
35,custom,23.150,0.000000,0.000,0.000000,0.600000,0.000000,0.001965,1.000,0.029,16.180,45.000,180.000,0.000010,50.186,1,0.000
36,custom,23.865,0.000000,0.000,0.000000,0.600000,0.000000,0.002195,1.000,0.033,16.309,45.000,180.000,0.000010,50.870,1,0.000
37,custom,25.629,0.000000,0.001,-0.000003,0.600000,0.000000,0.002428,1.000,0.037,16.627,45.000,180.000,0.000010,52.561,1,0.000
38,custom,26.810,0.000000,0.007,-0.000008,0.600000,0.000000,0.002646,1.000,0.041,16.841,45.000,180.000,0.000010,53.693,1,0.000
39,custom,28.034,0.000000,0.021,-0.000032,0.600000,0.000000,0.002979,1.000,0.048,17.062,45.000,180.000,0.000010,54.866,1,0.000
40,custom,29.129,0.000000,0.032,-0.000057,0.600000,0.000000,0.003329,1.000,0.055,17.259,45.000,180.000,0.000017,55.916,1,0.000
41,custom,30.423,0.000000,0.039,-0.000083,0.600000,0.000000,0.003718,1.000,0.064,17.493,45.000,180.000,0.000017,57.156,1,0.000
42,custom,31.635,0.000000,0.023,-0.000058,0.600000,0.000000,0.004010,1.000,0.070,17.712,45.000,180.000,0.000017,58.317,1,0.000
43,custom,33.165,0.000000,0.072,-0.000145,0.600000,0.000000,0.004281,1.000,0.076,17.988,45.000,180.000,0.000017,59.783,1,0.000
44,custom,34.362,0.000000,0.106,-0.000210,0.600000,0.000000,0.004579,1.000,0.083,18.204,45.000,180.000,0.000017,60.930,1,0.000
45,custom,35.654,0.000000,0.111,-0.000203,0.600000,0.000000,0.004832,1.000,0.090,18.438,45.000,180.000,0.000017,62.168,1,0.000
46,custom,36.893,0.000000,0.111,-0.000241,0.600000,0.000000,0.007667,1.000,0.101,18.661,45.000,180.000,0.000028,63.356,2,0.000
47,custom,37.944,0.000000,0.139,-0.000274,0.600000,0.000000,0.008050,1.000,0.108,18.851,45.000,180.000,0.000028,64.363,2,0.000
48,custom,39.236,0.000000,0.123,-0.000235,0.600000,0.000000,0.008339,1.000,0.113,19.084,45.000,180.000,0.000028,65.601,2,0.000
49,custom,40.610,0.000000,0.149,-0.000291,0.427898,0.000000,0.008592,1.000,0.117,19.332,45.000,180.000,0.000028,66.918,2,0.000
50,custom,41.199,0.000000,0.086,-0.000160,0.600000,0.000000,0.008953,1.000,0.124,19.439,45.000,180.000,0.000028,67.482,2,0.000
51,custom,42.640,0.000000,0.133,-0.000248,0.079172,0.000000,0.009173,1.000,0.128,19.699,45.000,180.000,0.000037,68.863,2,0.000
52,custom,42.341,0.000000,-0.018,0.000036,0.600000,0.000000,0.009692,1.000,0.137,19.645,45.000,180.000,0.000028,68.577,2,0.000
53,custom,43.714,0.000000,0.129,-0.000328,0.000000,0.000000,0.009374,1.000,0.132,19.893,45.000,180.000,0.000037,69.893,2,0.000
54,custom,43.205,0.000000,-0.006,0.000089,0.000000,0.000000,0.009910,1.000,0.142,19.801,45.000,180.000,0.000037,69.405,2,0.000
55,custom,43.111,0.000000,-0.046,0.000073,0.000000,0.000000,0.009634,1.000,0.136,19.784,45.000,180.000,0.000037,69.314,2,0.000
56,custom,43.006,0.000000,0.029,-0.000049,0.000000,0.000000,0.009619,1.000,0.136,19.765,45.000,180.000,0.000037,69.214,2,0.000
57,custom,42.770,0.000000,-0.044,0.000101,0.600000,0.000000,0.009422,1.000,0.132,19.722,45.000,180.000,0.000037,68.988,2,0.000
58,custom,44.149,0.000000,0.056,-0.000127,0.000000,0.000000,0.009328,1.000,0.130,19.971,45.000,180.000,0.000037,70.309,2,0.000
59,custom,43.661,0.000000,-0.073,0.000176,0.000000,0.000000,0.013377,1.000,0.134,19.883,45.000,180.000,0.000037,69.842,3,0.000
60,custom,43.522,0.000000,-0.071,0.000109,0.000000,0.000000,0.013210,1.000,0.132,19.858,45.000,180.000,0.000037,69.709,3,0.000
61,custom,43.324,0.000000,-0.007,0.000016,0.000000,0.000000,0.013058,1.000,0.130,19.822,45.000,180.000,0.000037,69.519,3,0.000
62,custom,43.142,0.000000,-0.021,0.000049,0.000000,0.000000,0.012825,1.000,0.126,19.790,45.000,180.000,0.000037,69.344,3,0.000
63,custom,43.151,0.000000,-0.005,-0.000007,0.000000,0.000000,0.012782,1.000,0.125,19.791,45.000,180.000,0.000037,69.353,3,0.000
64,custom,42.937,0.000000,-0.040,0.000087,0.600000,0.000000,0.012684,1.000,0.124,19.753,45.000,180.000,0.000037,69.148,3,0.000
65,custom,44.440,0.000000,0.116,-0.000242,0.000000,0.000000,0.012584,1.000,0.122,20.024,45.000,180.000,0.000037,70.588,3,0.000
66,custom,43.630,0.000000,-0.013,0.000041,0.000000,0.000000,0.013102,1.000,0.131,19.878,45.000,180.000,0.000037,69.812,3,0.000
67,custom,43.671,0.000000,-0.158,0.000294,0.000000,0.000000,0.012848,1.000,0.126,19.885,45.000,180.000,0.000037,69.851,3,0.000
68,custom,43.414,0.000000,-0.056,0.000095,0.000000,0.000000,0.012767,1.000,0.124,19.839,45.000,180.000,0.000037,69.605,3,0.000
69,custom,43.358,0.000000,-0.137,0.000288,0.000000,0.000000,0.012691,1.000,0.122,19.829,45.000,180.000,0.000037,69.552,3,0.000
70,custom,43.134,0.000000,-0.248,0.000496,0.000000,0.000000,0.012619,1.000,0.120,19.788,45.000,180.000,0.000037,69.337,3,0.000
71,custom,42.986,0.000000,-0.157,0.000288,0.600000,0.000000,0.012762,1.000,0.122,19.761,45.000,180.000,0.000037,69.195,3,0.000
72,custom,44.167,0.025155,-0.030,0.000017,0.000000,0.000000,0.015713,1.000,0.104,19.975,45.000,180.000,0.000037,70.327,4,0.000
73,custom,43.629,0.012665,-11.195,0.024266,0.000000,0.000000,0.017862,1.000,0.134,19.877,45.000,180.000,0.000037,69.811,4,0.000
