tick,stage,map,vehicle,image_path,speed_kph,steering_wheel_deg,steering_input,throttle_input,brake_input,lane_offset,lane_confidence,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_depth_min_m,sensor_lateral_accel_mps2,damage
10,ai,hirochi_raceway,scintilla,images\frame_000010.jpg,8.855,-80.797,0.194859,0.153992,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
20,ai,hirochi_raceway,scintilla,images\frame_000020.jpg,16.792,-33.786,0.079990,0.017906,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
30,ai,hirochi_raceway,scintilla,images\frame_000030.jpg,26.054,21.949,-0.053805,0.222438,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
40,ai,hirochi_raceway,scintilla,images\frame_000040.jpg,36.518,66.154,-0.160328,0.302020,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
50,ai,hirochi_raceway,scintilla,images\frame_000050.jpg,46.069,65.723,-0.158456,0.604956,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
60,ai,hirochi_raceway,scintilla,images\frame_000060.jpg,55.412,40.925,-0.098305,0.599738,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
70,ai,hirochi_raceway,scintilla,images\frame_000070.jpg,65.070,28.336,-0.068366,0.530601,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
80,ai,hirochi_raceway,scintilla,images\frame_000080.jpg,65.606,27.492,-0.066344,0.061446,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
90,ai,hirochi_raceway,scintilla,images\frame_000090.jpg,65.675,27.344,-0.066062,0.076364,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
100,ai,hirochi_raceway,scintilla,images\frame_000100.jpg,65.651,28.146,-0.067959,0.074027,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
110,ai,hirochi_raceway,scintilla,images\frame_000110.jpg,65.659,25.538,-0.061603,0.073404,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
120,ai,hirochi_raceway,scintilla,images\frame_000120.jpg,65.644,20.731,-0.049949,0.077457,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
130,ai,hirochi_raceway,scintilla,images\frame_000130.jpg,65.726,14.380,-0.034540,0.075587,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
140,ai,hirochi_raceway,scintilla,images\frame_000140.jpg,65.797,7.122,-0.017047,0.072113,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
150,ai,hirochi_raceway,scintilla,images\frame_000150.jpg,65.888,3.194,-0.007689,0.072312,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
160,ai,hirochi_raceway,scintilla,images\frame_000160.jpg,65.882,1.908,-0.004584,0.077544,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
170,ai,hirochi_raceway,scintilla,images\frame_000170.jpg,65.872,1.232,-0.002948,0.074816,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
180,ai,hirochi_raceway,scintilla,images\frame_000180.jpg,65.879,0.190,-0.000415,0.075602,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
190,ai,hirochi_raceway,scintilla,images\frame_000190.jpg,65.991,-0.192,0.000496,0.073055,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
200,ai,hirochi_raceway,scintilla,images\frame_000200.jpg,66.051,-0.330,0.000794,0.073144,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
210,ai,hirochi_raceway,scintilla,images\frame_000210.jpg,66.114,-0.871,0.002105,0.074869,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
220,ai,hirochi_raceway,scintilla,images\frame_000220.jpg,65.935,-1.104,0.002699,0.076729,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
230,ai,hirochi_raceway,scintilla,images\frame_000230.jpg,66.038,-1.070,0.002566,0.075337,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
240,ai,hirochi_raceway,scintilla,images\frame_000240.jpg,66.092,-0.934,0.002245,0.076938,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
250,ai,hirochi_raceway,scintilla,images\frame_000250.jpg,66.017,-0.751,0.001820,0.077885,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
