tick,stage,map,vehicle,image_path,speed_kph,steering_wheel_deg,steering_input,throttle_input,brake_input,lane_offset,lane_confidence,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_depth_min_m,sensor_lateral_accel_mps2,damage
1,ai,hirochi_raceway,bolide,images\frame_000001.jpg,9.498,-73.007,0.152368,0.000000,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
2,ai,hirochi_raceway,bolide,images\frame_000002.jpg,10.709,-78.085,0.135864,0.347134,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
3,ai,hirochi_raceway,bolide,images\frame_000003.jpg,13.207,-39.146,0.062374,0.953877,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
4,ai,hirochi_raceway,bolide,images\frame_000004.jpg,20.118,26.497,-0.058743,0.947326,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
5,ai,hirochi_raceway,bolide,images\frame_000005.jpg,27.556,76.437,-0.145610,0.929244,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
6,ai,hirochi_raceway,bolide,images\frame_000006.jpg,36.022,103.879,-0.185879,0.873013,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
7,ai,hirochi_raceway,bolide,images\frame_000007.jpg,43.925,60.938,-0.101915,0.862818,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
8,ai,hirochi_raceway,bolide,images\frame_000008.jpg,51.700,31.938,-0.057120,0.927878,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
9,ai,hirochi_raceway,bolide,images\frame_000009.jpg,59.316,37.041,-0.069400,0.950129,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
10,ai,hirochi_raceway,bolide,images\frame_000010.jpg,66.471,47.269,-0.087113,0.928321,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
11,ai,hirochi_raceway,bolide,images\frame_000011.jpg,72.403,49.598,-0.089811,0.943151,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
12,ai,hirochi_raceway,bolide,images\frame_000012.jpg,74.121,46.720,-0.083650,0.708870,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
13,ai,hirochi_raceway,bolide,images\frame_000013.jpg,79.363,36.733,-0.066363,0.952879,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
14,ai,hirochi_raceway,bolide,images\frame_000014.jpg,84.118,32.493,-0.056954,0.963444,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
15,ai,hirochi_raceway,bolide,images\frame_000015.jpg,89.074,19.323,-0.032405,0.964830,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
16,ai,hirochi_raceway,bolide,images\frame_000016.jpg,93.732,4.985,-0.006952,0.798412,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
17,ai,hirochi_raceway,bolide,images\frame_000017.jpg,96.031,-0.221,0.000079,0.312508,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
18,ai,hirochi_raceway,bolide,images\frame_000018.jpg,96.320,1.365,-0.002407,0.177402,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
19,ai,hirochi_raceway,bolide,images\frame_000019.jpg,96.465,0.548,-0.000779,0.162005,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
20,ai,hirochi_raceway,bolide,images\frame_000020.jpg,96.523,-0.772,0.001707,0.161104,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
21,ai,hirochi_raceway,bolide,images\frame_000021.jpg,96.527,-1.195,0.002276,0.160743,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
