tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,1.358,0.000000,-7.440,0.014625,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
2,ai,3.196,0.000000,-7.520,0.014804,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
3,ai,4.959,0.000000,-7.659,0.014877,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
4,ai,6.545,0.000000,-7.219,0.014113,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
5,ai,7.877,0.000000,-6.672,0.012959,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
6,ai,9.076,0.000000,-6.009,0.011648,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
7,ai,10.529,0.000000,-5.226,0.010086,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
8,ai,11.976,0.000000,-4.291,0.008235,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
9,ai,14.432,0.000000,-3.158,0.005893,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
10,ai,16.233,0.000000,-1.866,0.003389,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,140.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,140.000,0.000000,coast,0.600000,0.000
