tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,10.335,0.000000,-2.471,0.005658,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
2,ai,13.715,0.000000,-1.586,0.003719,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
3,ai,15.044,0.000000,0.280,-0.001185,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
4,ai,21.748,0.000000,1.590,-0.004337,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
5,ai,34.080,0.000000,2.282,-0.005521,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
6,ai,43.938,0.000000,0.788,-0.001367,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
7,ai,54.600,0.000000,-0.512,0.001241,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
8,ai,65.581,0.000000,-0.173,0.000370,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
9,ai,70.522,0.000000,-0.640,0.001493,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
10,ai,82.514,0.000000,-0.260,0.000673,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
11,ai,92.425,0.000000,0.433,-0.001211,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
12,ai,100.761,0.000000,-0.342,0.001331,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
13,ai,107.960,0.000000,-0.401,0.000762,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
14,ai,118.438,0.000000,-0.214,0.000451,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
15,ai,128.290,0.000000,-0.321,0.001334,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
16,ai,133.964,0.000000,-1.282,0.002547,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
17,ai,137.392,0.000000,0.013,0.000076,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,0.000
18,ai,137.312,0.000000,-16.600,0.048420,0.000000,1.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,145.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,145.000,0.000000,coast,0.600000,8858.133
