tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,imitation_speed_target_kph,imitation_blend,control_phase,throttle_cap,damage
1,ai,2.506,0.000000,16.384,-0.040104,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
2,ai,4.790,0.000000,18.384,-0.044330,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
3,ai,9.731,0.000000,18.712,-0.045176,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
4,ai,12.061,0.000000,18.281,-0.044172,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
5,ai,13.039,0.000000,17.702,-0.042813,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
6,ai,10.258,0.000000,17.026,-0.040754,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
7,ai,13.381,0.000000,16.157,-0.038267,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
8,ai,13.933,0.000000,14.203,-0.034182,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
9,ai,15.299,0.000000,12.223,-0.028990,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
10,ai,20.855,0.000000,10.121,-0.024366,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
11,ai,20.881,0.000000,8.043,-0.019021,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
12,ai,23.856,0.000000,5.912,-0.013863,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
13,ai,26.576,0.000000,3.644,-0.008213,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
14,ai,29.596,0.000000,1.401,-0.002666,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
15,ai,31.700,0.000000,-1.461,0.004624,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
16,ai,34.114,0.000000,-5.060,0.012911,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
17,ai,36.797,0.000000,-7.614,0.018642,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
18,ai,39.560,0.000000,-9.220,0.022569,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
19,ai,41.817,0.000000,-10.241,0.024869,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
20,ai,44.063,0.000000,-10.299,0.024736,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
21,ai,46.517,0.000000,-9.421,0.022458,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
22,ai,48.991,0.000000,-7.921,0.018714,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
23,ai,51.340,0.000000,-6.127,0.014338,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
24,ai,53.539,0.000000,-4.291,0.009900,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
25,ai,56.319,0.000000,-2.490,0.005606,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
26,ai,58.640,0.000000,-0.670,0.001162,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
27,ai,61.438,0.000000,0.991,-0.002713,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
28,ai,63.627,0.000000,2.033,-0.005109,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
29,ai,65.860,0.000000,2.560,-0.006240,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
30,ai,67.865,0.000000,2.655,-0.006360,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
31,ai,69.815,0.000000,2.377,-0.005660,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
32,ai,73.044,0.000000,2.025,-0.004799,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
33,ai,72.815,0.000000,1.470,-0.003388,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
34,ai,73.664,0.000000,1.246,-0.002936,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
35,ai,75.197,0.000000,1.089,-0.002583,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
36,ai,76.539,0.000000,1.092,-0.002663,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
37,ai,77.792,0.000000,1.251,-0.003052,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
38,ai,79.299,0.000000,1.414,-0.003458,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
39,ai,80.530,0.000000,1.391,-0.003330,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
40,ai,82.079,0.000000,1.078,-0.002481,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
41,ai,83.521,0.000000,0.398,-0.000760,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
42,ai,84.811,0.000000,-0.771,0.002189,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
43,ai,86.105,0.000000,-2.312,0.006001,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
44,ai,87.091,0.000000,-3.915,0.009860,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
45,ai,87.663,0.000000,-5.477,0.013543,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
46,ai,88.340,0.000000,-6.704,0.016416,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,180.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000000,180.000,0.000000,coast,0.600000,0.000
