tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
1,imitate,0.058,0.010762,0.000,0.000000,0.600000,0.000000,0.125898,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.194531,0.068633,0.083398,0.785417,6,40.000,48.177,240.000,240.000,103.000,0.000000,0.350159,0.000000,0.000
2,imitate,0.780,0.014528,-4.636,0.009308,0.600000,0.000000,0.125898,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.194531,0.068633,0.083398,0.785417,6,40.000,48.177,240.000,240.000,103.000,0.000000,0.116426,0.000000,0.000
3,imitate,4.386,0.015846,-7.990,0.014528,0.600000,0.000000,0.125898,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.194531,0.068633,0.083398,0.785417,6,40.000,48.177,240.000,240.000,103.000,0.000000,2.040052,0.000000,0.000
4,imitate,8.206,0.015529,-8.715,0.015846,0.600000,0.000000,0.107344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.166406,0.059063,0.131250,0.805990,6,40.000,47.136,240.000,240.000,103.000,0.000000,3.402708,0.000000,0.000
5,imitate,9.561,0.015418,-8.541,0.015529,0.600000,0.000000,0.107344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.166406,0.059063,0.131250,0.805990,6,40.000,47.136,240.000,240.000,103.000,0.000000,2.025239,0.000000,0.000
6,imitate,6.049,0.015379,-8.480,0.015418,0.600000,0.000000,0.107344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.166406,0.059063,0.131250,0.805990,6,40.000,47.136,240.000,240.000,103.000,0.000000,3.312757,0.000000,0.000
7,imitate,7.739,0.000000,-8.458,0.015379,0.600000,0.000000,-0.002109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.003125,-0.001563,0.000547,-0.002734,0.864062,6,31.255,49.999,240.000,31.255,112.000,0.000000,6.913931,0.000000,0.000
8,imitate,3.099,0.000000,0.000,0.000000,0.600000,0.000000,-0.002109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.003125,-0.001563,0.000547,-0.002734,0.864062,6,40.000,49.999,240.000,240.000,112.000,0.000000,2.002067,0.000000,1.960
9,imitate,4.144,-0.010616,0.000,0.000000,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,240.000,113.000,0.000000,2.241722,0.000000,2.282
10,imitate,5.233,0.019474,4.793,-0.009736,0.600000,0.000000,0.108633,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.313281,-0.001563,-0.110195,0.550977,0.895052,6,29.559,29.559,240.000,240.000,110.000,0.000000,3.819456,0.000000,2.282
