tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
1,imitate,0.054,0.045336,0.000,0.000000,0.600000,0.000000,0.126406,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.195312,0.068906,0.082031,0.784115,6,40.000,48.204,240.000,240.000,103.000,0.000000,0.352339,0.046310,0.000
2,imitate,0.686,0.063043,-5.578,0.011220,0.600000,0.000000,0.125117,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.193750,0.068633,0.083398,0.790104,6,40.000,48.183,240.000,240.000,103.000,0.000000,0.358891,0.048948,0.000
3,imitate,4.677,0.069240,-12.044,0.023012,0.600000,0.000000,0.125117,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,0.193750,0.068633,0.083398,0.790104,6,40.000,48.183,240.000,240.000,103.000,0.000000,2.490163,0.048948,0.000
4,imitate,8.512,0.066780,-19.158,0.036086,0.600000,0.000000,0.033984,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,0.162500,0.128516,-0.216016,0.877604,6,40.000,44.202,240.000,240.000,103.000,0.000000,3.708861,0.075356,0.000
5,imitate,7.005,0.053611,-25.542,0.047446,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,103.000,0.000000,1.593567,0.058719,0.000
6,imitate,5.445,0.049002,-29.486,0.053610,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,27.713,50.000,240.000,27.713,103.000,0.000000,7.137296,0.058719,0.000
7,imitate,3.592,0.018593,-26.951,0.049001,0.600000,0.000000,-0.001289,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.000781,-0.001563,-0.000273,0.001367,0.863802,6,40.000,50.000,240.000,240.000,112.000,0.000000,0.053420,0.019884,2.057
8,imitate,3.664,-0.029257,-15.071,0.025200,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,1.000000,6,40.000,50.000,240.000,240.000,113.000,0.000000,3.146415,-0.065414,2.344
9,imitate,6.039,-0.004911,0.462,-0.002266,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,1.000000,6,40.000,50.000,240.000,240.000,112.000,0.000000,4.811895,0.025215,2.344
10,imitate,11.544,0.003610,2.701,-0.004911,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,1.000000,6,40.000,50.000,240.000,240.000,112.000,0.000000,3.363754,0.025215,2.344
