tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.064,0.141,45.100,0.0417,0.000,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
2,0.127,0.061,45.100,0.0628,10.367,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
3,0.199,0.589,45.100,0.0733,21.400,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
5,0.259,0.892,45.100,0.0786,31.409,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
6,0.324,0.782,45.100,0.0821,35.370,0.9000,0.0000,0.0000,0.000,2.355,2.751,0.000,0
7,0.385,0.493,45.100,0.0847,36.929,0.9000,0.0000,0.0000,0.000,2.355,2.752,0.000,0
9,0.457,0.406,45.100,0.0860,38.126,0.9000,0.0000,0.0000,0.000,2.355,2.751,0.000,0
10,0.531,0.419,45.100,0.0861,38.695,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
11,0.596,0.476,45.100,0.0858,38.728,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
13,0.661,0.532,45.100,0.0857,38.605,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
14,0.730,0.557,45.100,0.0857,38.575,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
16,0.800,0.606,45.100,0.0854,38.546,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
17,0.865,0.624,45.100,0.0851,38.438,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
18,0.929,0.612,45.100,0.0848,38.286,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
19,0.993,0.605,45.100,0.0845,38.158,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
21,1.059,0.641,45.100,0.0840,38.026,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
22,1.127,0.738,45.100,0.0832,37.779,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
24,1.202,0.900,45.100,0.0824,37.451,0.9000,0.0000,0.0000,0.000,2.355,2.750,0.000,0
25,1.262,1.703,45.100,0.0811,37.097,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
26,1.326,1.789,45.100,0.0803,36.507,0.9000,0.0000,0.0000,0.000,2.355,2.749,0.000,0
27,1.387,1.881,45.100,0.0794,36.125,0.9000,0.0000,0.0000,0.000,2.355,2.748,0.000,0
28,1.446,2.291,45.100,0.0783,35.719,0.9000,0.0000,0.0000,0.000,2.355,2.747,0.000,0
30,1.505,4.675,45.100,0.0750,35.236,0.9000,0.0000,0.0000,0.000,2.355,2.747,0.000,0
31,1.571,10.583,45.100,0.0756,33.754,0.9000,0.0000,0.0000,2.338,2.355,2.746,0.000,0
32,1.632,12.837,45.100,0.0663,34.002,0.9000,0.0000,0.0000,-0.006,2.355,2.744,0.000,0
33,1.694,13.867,45.100,0.0605,29.832,0.9000,0.0000,0.0000,-0.093,2.355,2.744,0.000,0
35,1.753,14.850,45.100,0.0583,27.231,0.9000,0.0000,0.0000,0.734,2.355,2.743,0.000,0
36,1.812,16.093,45.100,0.0584,26.225,0.8715,0.0000,0.0000,1.765,2.355,2.741,0.000,0
37,1.872,17.464,45.100,0.0546,26.263,0.8841,0.0000,0.0000,1.118,2.355,2.738,0.000,0
38,1.931,18.646,45.100,0.0498,24.580,0.8795,0.0000,0.0000,0.851,2.355,2.736,0.000,0
39,1.992,20.543,45.100,0.0447,22.431,0.8466,0.0000,0.0000,0.897,2.355,2.733,0.000,0
41,2.068,22.147,45.100,0.0394,20.125,0.8284,0.0000,0.0000,0.757,2.355,2.731,0.000,0
42,2.130,24.297,45.100,0.0252,17.741,0.7959,0.0000,0.0000,0.759,2.796,2.728,0.000,0
43,2.194,25.888,45.100,0.0163,11.362,0.7711,0.0000,0.0000,0.747,2.796,2.725,0.000,0
45,2.257,28.010,45.100,0.0076,7.323,0.7744,0.0000,0.0000,0.049,2.796,2.723,0.000,0
46,2.320,29.999,45.100,0.0004,3.437,0.7203,0.0000,0.0000,-0.466,2.796,2.722,0.000,0
47,2.381,31.800,45.100,-0.0034,0.174,0.7062,0.0000,0.0000,-0.189,2.796,2.721,0.000,0
48,2.444,33.155,45.100,-0.0053,-1.518,0.6877,0.0000,0.0000,-0.130,2.796,2.720,0.000,0
50,2.510,35.108,45.100,-0.0048,-2.401,0.6380,0.0000,0.0000,0.476,2.796,2.720,0.000,0
53,2.676,36.246,45.100,-0.0066,-2.182,0.6324,0.0000,0.0000,-0.240,2.796,2.719,0.000,0
54,2.742,37.440,45.100,-0.0070,-2.968,0.6127,0.0000,0.0000,-0.251,2.796,2.719,0.000,0
56,2.806,38.729,45.100,-0.0060,-3.139,0.6028,0.0000,0.0000,-0.051,2.796,2.719,0.000,0
57,2.868,39.840,45.100,-0.0038,-2.696,0.5749,0.0000,0.0000,0.239,2.796,2.719,0.000,0
58,2.928,40.836,45.100,-0.0021,-1.704,0.5665,0.0000,0.0000,0.099,2.796,2.719,0.000,0
59,2.991,41.636,45.100,-0.0087,-0.935,0.5457,0.0000,0.0000,0.307,3.236,2.719,0.000,0
61,3.062,42.543,45.100,-0.0098,-3.893,0.5193,0.0000,0.0000,0.549,3.236,2.719,0.000,0
62,3.127,43.168,45.100,-0.0090,-4.401,0.5154,0.0000,0.0000,0.424,3.236,2.720,0.000,0
63,3.192,43.833,45.100,-0.0061,-4.036,0.4985,0.0000,0.0000,0.552,3.236,2.721,0.000,0
65,3.256,44.023,45.100,-0.0022,-2.742,0.4984,0.0000,0.0000,0.492,3.236,2.723,0.000,0
66,3.321,44.085,45.100,0.0032,-0.994,0.4889,0.0000,0.0000,0.663,3.236,2.725,0.000,0
67,3.393,44.607,45.100,0.0086,1.419,0.4809,0.0000,0.0000,0.657,3.236,2.727,0.000,0
69,3.456,44.855,45.100,0.0153,3.888,0.4604,0.0000,0.0000,0.991,3.236,2.730,0.000,0
70,3.521,45.378,45.100,0.0124,7.002,0.4540,0.0000,0.0000,1.127,3.676,2.732,0.000,0
71,3.586,46.037,45.100,0.0128,5.988,0.4472,0.0000,0.0000,1.041,3.676,2.734,0.000,0
72,3.649,46.274,45.100,0.0162,6.552,0.4332,0.0000,0.0000,1.273,3.676,2.738,0.000,0
74,3.711,46.280,45.100,0.0202,8.405,0.4350,0.0000,0.0000,1.230,3.676,2.741,0.000,0
75,3.774,46.840,45.100,0.0253,10.727,0.4159,0.0000,0.0000,1.464,3.676,2.745,0.000,0
76,3.838,46.650,45.100,0.0304,13.515,0.4179,0.0000,0.0000,1.486,3.676,2.749,0.000,0
78,3.906,46.804,45.100,0.0311,16.408,0.4012,0.0000,0.0000,1.962,3.921,2.753,0.000,0
79,3.967,47.172,45.100,0.0330,17.343,0.3947,0.0000,0.0000,1.978,3.921,2.756,0.000,0
80,4.031,47.214,45.100,0.0338,18.674,0.4078,0.0000,0.0000,1.639,3.921,2.760,0.000,0
81,4.093,47.375,45.100,0.0350,19.510,0.4008,0.0000,0.0000,1.748,3.921,2.764,0.000,0
83,4.156,47.364,45.100,0.0359,20.498,0.4001,0.0000,0.0000,1.770,3.921,2.767,0.000,0
84,4.225,47.696,45.100,0.0355,21.259,0.3950,0.0000,0.0000,1.780,3.947,2.771,0.000,0
85,4.292,47.734,45.100,0.0349,21.469,0.3917,0.0000,0.0000,1.845,3.947,2.776,0.000,0
87,4.359,47.683,45.100,0.0337,21.433,0.3898,0.0000,0.0000,1.912,3.947,2.780,0.000,0
88,4.422,48.015,45.100,0.0308,20.914,0.3967,0.0000,0.0000,1.610,3.947,2.785,0.000,0
89,4.488,47.982,45.100,0.0278,19.622,0.3960,0.0000,0.0000,1.641,3.947,2.790,0.000,0
90,4.548,48.441,45.100,0.0131,18.077,0.4006,0.0000,0.0000,1.347,3.947,3.022,0.000,0
92,4.611,48.468,45.100,0.0030,11.246,0.4115,0.0000,0.0000,1.068,3.947,3.020,0.000,0
93,4.672,48.663,45.100,-0.0044,5.787,0.4233,0.0000,0.0000,0.698,3.947,3.021,0.000,0
94,4.735,49.309,45.100,-0.0091,1.474,0.4238,0.0000,0.0000,0.431,3.947,3.023,0.000,0
95,4.796,49.576,45.100,-0.0371,-1.118,0.4228,0.0000,0.0000,0.390,4.132,3.488,0.000,0
97,4.859,49.861,45.100,-0.0492,-10.088,0.4226,0.0000,0.0000,0.276,4.132,3.477,0.000,0
98,4.922,50.256,45.100,-0.0520,-19.692,0.4270,0.0000,0.0000,-0.000,4.132,3.470,0.000,0
99,4.982,50.448,45.100,-0.0468,-21.660,0.4173,0.0000,0.0000,-0.170,4.132,3.469,0.000,0
100,5.045,50.511,45.100,-0.0684,-18.625,0.4201,0.0000,0.0000,0.144,4.626,3.960,0.000,0
102,5.109,51.095,45.100,-0.0669,-24.829,0.4010,0.0000,0.0000,0.427,4.626,3.947,0.000,0
103,5.170,50.633,45.100,-0.0518,-23.442,0.4065,0.0000,0.0000,0.482,4.626,3.940,0.000,0
104,5.234,51.535,45.100,-0.0270,-14.242,0.3707,0.0000,0.0000,1.100,4.626,3.940,0.000,0
105,5.295,50.835,45.100,-0.0326,1.439,0.3628,0.0000,0.0000,1.963,5.249,4.422,0.000,0
107,5.361,51.273,45.100,-0.0192,4.584,0.3439,0.0000,0.0000,2.354,5.249,4.403,0.000,0
108,5.424,51.373,45.100,0.0025,14.289,0.3269,0.0000,0.0000,2.860,5.249,4.389,0.000,0
109,5.485,50.181,45.100,0.0258,26.631,0.3347,0.0000,0.0000,3.229,5.249,4.379,0.000,0
111,5.556,50.452,45.100,0.0066,37.373,0.3395,0.0000,0.0000,3.380,5.874,4.834,0.000,0
112,5.619,50.715,45.100,-0.0026,29.583,0.3475,0.0000,0.0000,2.932,5.874,4.804,0.000,0
113,5.692,50.121,45.100,-0.0113,19.884,0.3786,0.0000,0.0000,2.139,5.874,4.782,0.000,0
115,5.762,50.794,45.100,-0.0497,8.485,0.3962,0.0000,0.0000,1.326,6.496,5.011,0.000,0
116,5.831,50.945,45.100,-0.0749,-8.367,0.4151,0.0000,0.0000,0.460,6.496,4.992,0.000,0
118,5.902,51.853,45.100,-0.0901,-25.214,0.4057,0.0000,0.0000,-0.253,6.496,4.983,0.000,0
119,5.971,52.459,45.100,-0.1045,-39.468,0.3887,0.0000,0.0000,-0.666,6.926,5.011,0.000,0
120,6.039,53.012,45.100,-0.1011,-50.118,0.3743,0.0000,0.0000,-0.907,6.926,5.024,0.000,0
122,6.107,53.981,45.100,-0.0827,-48.099,0.1000,0.0264,0.0000,-0.895,6.926,5.053,0.000,0
123,6.178,53.433,45.100,-0.0619,-37.757,0.1000,0.0100,0.0000,-0.704,6.877,5.367,0.000,0
125,6.254,52.780,45.100,-0.0298,-26.051,0.3907,0.0000,0.0000,-0.349,6.877,5.409,0.000,0
126,6.328,54.146,45.100,-0.0185,-9.699,0.1000,0.0314,0.0000,0.140,6.512,6.172,0.000,0
128,6.406,54.034,45.100,-0.0012,-2.893,0.1000,0.0280,0.0000,0.320,6.512,6.191,0.000,0
129,6.480,53.073,45.100,0.0144,4.512,0.3853,0.0000,0.0000,0.291,6.512,6.217,0.000,0
130,6.548,54.153,45.100,-0.0075,9.937,0.1000,0.0316,0.0000,0.334,6.129,7.084,0.000,0
132,6.610,54.141,45.100,-0.0209,-0.983,0.1000,0.0312,0.0000,0.111,6.129,7.064,0.000,0
133,6.674,53.878,45.100,-0.0605,-9.265,0.1000,0.0233,0.0000,-0.195,5.766,7.906,0.000,0
134,6.734,53.347,45.100,-0.0808,-20.582,0.1000,0.0074,0.0000,-0.407,5.766,7.850,0.000,0
135,6.795,53.561,45.100,-0.0887,-31.751,0.1000,0.0138,0.0000,-0.636,5.766,7.800,0.000,0
137,6.858,53.446,45.100,-0.1169,-41.887,0.1000,0.0104,0.0000,-0.816,5.417,8.594,0.000,0
138,6.920,53.342,45.100,-0.1209,-51.622,0.1000,0.0073,0.0000,-1.029,5.417,8.523,0.000,0
139,6.982,53.147,45.100,-0.1093,-57.792,0.1000,0.0014,0.0000,-1.286,5.417,8.464,0.000,0
140,7.045,53.117,45.100,-0.1092,-52.256,0.1000,0.0005,0.0000,-0.967,5.240,8.968,0.000,0
142,7.104,53.350,45.100,-0.0906,-50.454,0.1000,0.0075,0.0000,-0.747,5.240,8.906,0.000,0
143,7.165,53.104,45.100,-0.0625,-40.811,0.1000,0.0001,0.0000,-0.557,5.240,8.858,0.000,0
144,7.227,53.144,45.100,-0.0304,-26.588,0.1000,0.0013,0.0000,-0.273,5.240,8.821,0.000,0
145,7.288,52.579,45.100,-0.0075,-10.726,0.3930,0.0000,0.0000,0.058,5.257,8.930,0.000,0
146,7.347,54.146,45.100,0.0122,0.824,0.1000,0.0314,0.0000,0.446,5.257,8.896,0.000,0
148,7.406,53.542,45.100,0.0274,10.527,0.1000,0.0133,0.0000,0.579,5.257,8.864,0.000,0
149,7.464,53.205,45.100,0.0350,17.235,0.1000,0.0031,0.0000,0.554,5.290,8.832,0.000,0
150,7.525,53.091,45.100,0.0351,19.371,0.3701,0.0000,0.0000,0.552,5.290,8.800,0.000,0
151,7.586,53.673,45.100,0.0278,18.134,0.1000,0.0172,0.0000,0.483,5.290,8.765,0.000,0
152,7.645,53.558,45.100,0.0195,13.543,0.1000,0.0137,0.0000,0.270,5.119,8.736,0.000,0
154,7.718,52.994,45.100,0.0084,8.532,0.3862,0.0000,0.0000,0.044,5.119,8.693,0.000,0
