tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,sensor,0.008,0.300000,0.000,0.000000,0.600000,0.000000,0.441406,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.644531,0.332031,-0.109375,0.109375,0.585156,6,20.296,35.034,20.296,240.000,16.000,0.000000,0.095852,0.000
2,sensor,14.647,0.600000,-114.190,0.297235,0.000000,0.264654,0.426367,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.632031,0.315625,-0.110742,0.053320,0.571094,6,12.000,36.776,20.296,12.000,16.000,0.000000,8.498906,0.000
3,sensor,3.212,0.769024,-237.833,0.596379,0.600000,0.000000,0.399727,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.632812,0.274219,-0.125508,0.118945,0.617969,6,19.259,34.957,19.259,240.000,15.000,0.000000,4.961020,0.000
4,sensor,32.969,0.707289,-318.376,0.769024,0.000000,1.000000,0.344141,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.613281,0.199219,-0.144922,0.041016,0.597396,6,19.259,37.429,19.259,27.854,15.000,0.000000,6.705635,0.000
5,sensor,0.050,0.467289,-292.818,0.707289,0.600000,0.000000,-0.138516,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.614844,0.117969,0.256484,-0.183203,0.650260,6,12.000,33.994,19.259,12.000,15.000,0.000000,11.397700,0.000
6,sensor,27.195,0.365089,-193.458,0.467289,0.000000,0.939956,0.209648,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.646875,-0.025781,-0.235430,0.009570,0.636198,6,17.796,38.349,18.222,17.796,14.000,0.000000,7.539407,0.000
7,sensor,0.046,0.254715,-151.147,0.365089,0.600000,0.000000,0.157422,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.609375,-0.085938,-0.243359,0.013672,0.728646,6,12.000,38.529,240.000,12.000,255.000,0.000000,11.319185,0.000
8,sensor,15.511,0.144695,-105.452,0.254715,0.000000,0.351141,0.124961,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.641406,-0.153125,-0.278086,-0.015039,0.680990,6,12.000,38.459,240.000,12.000,255.000,0.000000,9.321044,0.000
9,sensor,3.743,-0.155305,-59.904,0.144695,0.600000,0.000000,-0.312617,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.621875,-0.146094,0.166523,-0.241992,0.740885,6,21.835,31.283,240.000,21.835,255.000,0.000000,7.165246,0.000
10,sensor,16.842,-0.455305,64.296,-0.155305,0.000000,0.484172,-0.383047,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.605469,-0.263281,0.119766,-0.213281,0.679167,6,12.000,32.092,240.000,12.000,255.000,0.000000,9.006921,0.000
11,sensor,1.301,-0.215305,178.343,-0.452538,0.600000,0.000000,0.134062,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.650000,-0.143750,-0.277812,-0.032813,0.723958,6,12.000,38.032,240.000,12.000,255.000,0.000000,9.057753,0.000
12,sensor,14.823,-0.075357,89.136,-0.215305,0.000000,0.282328,0.052422,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.603906,-0.244531,-0.296953,0.051953,0.676302,6,12.000,38.011,240.000,12.000,255.000,0.000000,8.368481,0.000
13,sensor,3.923,-0.017841,31.198,-0.075357,0.600000,0.000000,0.083281,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.619531,-0.205469,-0.288750,0.019141,0.703385,6,32.000,38.554,240.000,39.160,255.000,0.000000,5.767453,0.000
14,sensor,17.805,0.000000,7.386,-0.017841,0.000000,0.580522,0.063242,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.620313,-0.236719,-0.299961,0.025977,0.669271,6,12.000,38.464,240.000,12.000,255.000,0.000000,8.995470,0.000
15,sensor,1.039,-0.005580,0.000,0.000000,0.600000,0.000000,0.066094,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.622656,-0.233594,-0.299687,-0.008203,0.707292,6,12.000,38.783,240.000,12.000,255.000,0.000000,10.755857,0.000
