tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.154,0.000000,0.000,0.000000,0.600000,0.000000,-0.000309,1.000,-0.022,12.028,40.000,180.000,0.000031,35.000,0,0.000
2,custom,0.013,0.000000,0.000,0.000000,0.600000,0.000000,-0.000264,1.000,-0.020,12.002,40.000,180.000,0.000031,35.000,0,0.000
3,custom,0.811,0.000000,0.000,0.000000,0.600000,0.000000,-0.000137,1.000,-0.016,12.146,40.000,180.000,0.000031,35.000,0,0.000
4,custom,1.781,0.000000,0.000,0.000000,0.600000,0.000000,-0.000446,1.000,-0.028,12.321,40.000,180.000,0.000031,35.000,0,0.000
5,custom,2.863,0.000000,0.000,0.000000,0.600000,0.000000,-0.000702,1.000,-0.035,12.517,40.000,180.000,0.000031,35.000,0,0.000
6,custom,3.686,0.000000,0.000,0.000000,0.600000,0.000000,-0.000290,1.000,-0.023,12.666,40.000,180.000,0.000031,35.000,0,0.000
7,custom,4.600,0.000000,0.000,0.000000,0.600000,0.000000,-0.000638,1.000,-0.033,12.830,40.000,180.000,0.000031,35.000,0,0.000
8,custom,5.450,0.000000,0.000,0.000000,0.600000,0.000000,-0.000691,1.000,-0.035,12.984,40.000,180.000,0.000031,35.000,0,0.000
9,custom,6.191,0.000000,0.000,0.000000,0.600000,0.000000,-0.000447,1.000,-0.027,13.118,40.000,180.000,0.000031,35.000,0,0.000
10,custom,6.806,0.000000,0.000,0.000000,0.600000,0.000000,-0.000509,1.000,-0.029,13.229,40.000,180.000,0.000031,35.000,0,0.000
11,custom,7.649,0.000000,0.000,0.000000,0.600000,0.000000,-0.000499,1.000,-0.029,13.381,40.000,180.000,0.000031,35.330,0,0.000
12,custom,8.559,0.000000,0.000,0.000000,0.600000,0.000000,-0.000363,1.000,-0.025,13.545,40.000,180.000,0.000031,36.202,0,0.000
13,custom,8.755,0.000000,0.000,0.000000,0.600000,0.000000,-0.000325,1.000,-0.023,13.581,40.000,180.000,0.000031,36.391,0,0.000
14,custom,9.325,0.000000,0.000,0.000000,0.600000,0.000000,-0.000399,1.000,-0.025,13.684,40.000,180.000,0.000031,36.936,1,0.000
15,custom,9.948,0.000000,0.000,0.000000,0.600000,0.000000,-0.000301,1.000,-0.022,13.796,40.000,180.000,0.000031,37.533,1,0.000
16,custom,10.523,0.000000,0.000,0.000000,0.600000,0.000000,-0.000322,1.000,-0.023,13.900,40.000,180.000,0.000031,38.084,1,0.000
17,custom,10.744,0.000000,0.000,0.000000,0.600000,0.000000,-0.000217,1.000,-0.020,13.940,40.000,180.000,0.000031,38.296,1,0.000
18,custom,11.341,0.000000,0.000,0.000000,0.600000,0.000000,-0.000165,1.000,-0.018,14.048,40.000,180.000,0.000031,38.868,1,0.000
19,custom,11.890,0.000000,0.000,0.000000,0.600000,0.000000,-0.000131,1.000,-0.017,14.147,40.000,180.000,0.000031,39.395,1,0.000
20,custom,12.479,0.000000,0.000,0.000000,0.600000,0.000000,-0.000041,1.000,-0.014,14.253,40.000,180.000,0.000031,39.959,1,0.000
21,custom,13.133,0.000000,0.000,0.000000,0.600000,0.000000,0.000052,1.000,-0.011,14.371,40.000,180.000,0.000031,40.586,1,0.000
22,custom,13.852,0.000000,0.000,0.000000,0.600000,0.000000,0.000113,1.000,-0.009,14.501,40.000,180.000,0.000031,41.275,1,0.000
23,custom,14.277,0.000000,0.000,0.000000,0.600000,0.000000,0.000215,1.000,-0.006,14.578,40.000,180.000,0.000031,41.682,1,0.000
24,custom,14.713,0.000000,0.000,0.000000,0.600000,0.000000,0.000274,1.000,-0.005,14.656,40.000,180.000,0.000029,42.100,2,0.000
25,custom,15.497,0.000000,0.000,0.000000,0.600000,0.000000,0.000394,1.000,-0.001,14.798,40.000,180.000,0.000029,42.851,2,0.000
26,custom,16.818,0.000000,0.000,0.000000,0.600000,0.000000,0.000509,1.000,0.000,15.037,40.000,180.000,0.000029,44.118,2,0.000
