tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.266,0.000000,0.000,0.000000,0.600000,0.000000,-0.000278,1.000,-0.020,12.048,25.000,180.000,0.000031,35.000,0,0.000
2,custom,0.189,0.000000,0.000,0.000000,0.600000,0.000000,-0.000333,1.000,-0.023,12.034,25.000,180.000,0.000031,35.000,0,0.000
3,custom,0.434,0.000000,0.000,0.000000,0.600000,0.000000,-0.000247,1.000,-0.020,12.078,25.000,180.000,0.000031,35.000,0,0.000
4,custom,1.354,0.000000,0.000,0.000000,0.600000,0.000000,-0.000319,1.000,-0.024,12.244,25.000,180.000,0.000031,35.000,0,0.000
5,custom,2.184,0.000000,0.000,0.000000,0.600000,0.000000,-0.000579,1.000,-0.032,12.394,25.000,180.000,0.000031,35.000,0,0.000
6,custom,3.034,0.000000,0.000,0.000000,0.600000,0.000000,-0.000560,1.000,-0.031,12.548,25.000,180.000,0.000031,35.000,0,0.000
7,custom,3.747,0.000000,0.000,0.000000,0.600000,0.000000,-0.000292,1.000,-0.023,12.676,25.000,180.000,0.000031,35.000,0,0.000
8,custom,4.503,0.000000,0.000,0.000000,0.600000,0.000000,-0.000560,1.000,-0.031,12.813,25.000,180.000,0.000031,35.000,0,0.000
9,custom,5.439,0.000000,0.000,0.000000,0.600000,0.000000,-0.000703,1.000,-0.036,12.982,25.000,180.000,0.000031,35.000,0,0.000
10,custom,6.059,0.000000,0.000,0.000000,0.600000,0.000000,-0.000487,1.000,-0.029,13.094,25.000,180.000,0.000031,35.000,0,0.000
11,custom,6.787,0.000000,0.000,0.000000,0.600000,0.000000,-0.000444,1.000,-0.027,13.225,25.000,180.000,0.000031,35.000,0,0.000
12,custom,7.423,0.000000,0.000,0.000000,0.600000,0.000000,-0.000478,1.000,-0.028,13.340,25.000,180.000,0.000031,35.113,0,0.000
13,custom,8.112,0.000000,0.000,0.000000,0.600000,0.000000,-0.000431,1.000,-0.027,13.465,25.000,180.000,0.000031,35.774,0,0.000
14,custom,8.334,0.000000,0.000,0.000000,0.600000,0.000000,-0.000329,1.000,-0.023,13.505,25.000,180.000,0.000031,35.987,0,0.000
15,custom,8.894,0.000000,0.000,0.000000,0.600000,0.000000,-0.000304,1.000,-0.023,13.606,25.000,180.000,0.000031,36.523,0,0.000
16,custom,9.423,0.000000,0.000,0.000000,0.600000,0.000000,-0.000374,1.000,-0.025,13.701,25.000,180.000,0.000031,37.030,1,0.000
17,custom,9.779,0.000000,0.000,0.000000,0.600000,0.000000,-0.000270,1.000,-0.022,13.766,25.000,180.000,0.000031,37.371,1,0.000
18,custom,10.529,0.000000,0.000,0.000000,0.600000,0.000000,-0.000280,1.000,-0.022,13.901,25.000,180.000,0.000031,38.091,1,0.000
19,custom,10.763,0.000000,0.000,0.000000,0.600000,0.000000,-0.000151,1.000,-0.018,13.943,25.000,180.000,0.000031,38.315,1,0.000
