tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,damage
1,custom,0.231,0.000000,0.000,0.000000,0.600000,0.000000,-0.000855,1.000,-0.035,12.042,0.000
2,custom,0.381,0.000000,0.000,0.000000,0.600000,0.000000,-0.001207,1.000,-0.043,12.069,0.000
3,custom,0.400,0.000000,0.000,0.000000,0.600000,0.000000,-0.000910,1.000,-0.036,12.072,0.000
4,custom,1.359,0.000000,0.000,0.000000,0.600000,0.000000,-0.000773,1.000,-0.034,12.245,0.000
5,custom,2.172,0.000000,0.000,0.000000,0.600000,0.000000,-0.001380,1.000,-0.047,12.392,0.000
6,custom,3.084,0.000000,0.000,0.000000,0.600000,0.000000,-0.001224,1.000,-0.043,12.557,0.000
7,custom,3.784,0.000000,0.000,0.000000,0.600000,0.000000,-0.000793,1.000,-0.033,12.683,0.000
8,custom,4.473,0.000000,0.000,0.000000,0.600000,0.000000,-0.001227,1.000,-0.043,12.808,0.000
9,custom,5.417,0.000000,0.000,0.000000,0.600000,0.000000,-0.001484,1.000,-0.049,12.978,0.000
10,custom,6.079,0.000000,0.000,0.000000,0.600000,0.000000,-0.001090,1.000,-0.040,13.098,0.000
11,custom,6.806,0.000000,0.000,0.000000,0.600000,0.000000,-0.001002,1.000,-0.038,13.229,0.000
12,custom,7.517,0.000000,0.000,0.000000,0.600000,0.000000,-0.001124,1.000,-0.041,13.357,0.000
13,custom,7.930,0.000000,0.000,0.000000,0.600000,0.000000,-0.001070,1.000,-0.040,13.432,0.000
14,custom,8.469,0.000000,0.000,0.000000,0.600000,0.000000,-0.000968,1.000,-0.037,13.529,0.000
15,custom,8.901,0.000000,0.000,0.000000,0.600000,0.000000,-0.000908,1.000,-0.036,13.607,0.000
16,custom,9.575,0.000000,0.000,0.000000,0.600000,0.000000,-0.000805,1.000,-0.033,13.729,0.000
17,custom,9.757,0.000000,0.000,0.000000,0.600000,0.000000,-0.000690,1.000,-0.030,13.762,0.000
18,custom,10.515,0.000000,0.000,0.000000,0.600000,0.000000,-0.000646,1.000,-0.029,13.898,0.000
19,custom,10.745,0.000000,0.000,0.000000,0.600000,0.000000,-0.000451,1.000,-0.025,13.940,0.000
20,custom,11.513,0.000000,0.000,0.000000,0.600000,0.000000,-0.001321,1.000,-0.028,14.079,0.000
21,custom,11.572,0.000000,0.000,0.000000,0.600000,0.000000,-0.001128,1.000,-0.025,14.089,0.000
22,custom,12.206,0.000000,0.000,0.000000,0.600000,0.000000,-0.001015,1.000,-0.023,14.204,0.000
23,custom,12.696,0.000000,0.000,0.000000,0.600000,0.000000,-0.000850,1.000,-0.020,14.292,0.000
24,custom,13.750,0.000000,0.000,0.000000,0.600000,0.000000,-0.000684,1.000,-0.017,14.483,0.000
25,custom,14.303,0.000000,0.000,0.000000,0.600000,0.000000,-0.000578,1.000,-0.015,14.583,0.000
26,custom,14.839,0.000000,0.000,0.000000,0.600000,0.000000,-0.000370,1.000,-0.012,14.679,0.000
27,custom,15.446,0.000000,0.000,0.000000,0.600000,0.000000,-0.000239,1.000,-0.010,14.789,0.000
28,custom,15.643,0.000000,0.000,0.000000,0.600000,0.000000,-0.000082,1.000,-0.007,14.824,0.000
29,custom,16.547,0.000000,0.000,0.000000,0.600000,0.000000,0.000192,1.000,-0.002,14.988,0.000
30,custom,17.952,0.000000,0.000,0.000000,0.600000,0.000000,0.000477,1.000,0.003,15.241,0.000
31,custom,17.927,0.000000,0.000,0.000000,0.600000,0.000000,0.000694,1.000,0.006,15.237,0.000
32,custom,19.504,0.000000,0.000,0.000000,0.600000,0.000000,0.001049,1.000,0.013,15.522,0.000
33,custom,20.910,0.000000,0.000,0.000000,0.600000,0.000000,0.001363,1.000,0.018,15.775,0.000
34,custom,21.680,0.000000,0.000,0.000000,0.600000,0.000000,0.001622,1.000,0.023,15.914,0.000
35,custom,22.598,0.000000,0.000,0.000000,0.600000,0.000000,0.001748,1.000,0.025,16.080,0.000
36,custom,24.121,0.000000,0.000,0.000000,0.600000,0.000000,0.001961,1.000,0.029,16.355,0.000
37,custom,25.237,0.000000,0.001,-0.000003,0.600000,0.000000,0.002210,1.000,0.033,16.557,0.000
38,custom,26.476,0.000000,0.004,-0.000004,0.600000,0.000000,0.002403,1.000,0.037,16.780,0.000
39,custom,27.627,0.000000,0.016,-0.000033,0.600000,0.000000,0.002697,1.000,0.043,16.988,0.000
40,custom,28.836,0.000000,0.025,-0.000063,0.600000,0.000000,0.003031,1.000,0.050,17.206,0.000
41,custom,30.257,0.000000,0.038,-0.000086,0.600000,0.000000,0.003417,1.000,0.058,17.463,0.000
42,custom,31.340,0.000000,0.031,-0.000064,0.600000,0.000000,0.003718,1.000,0.064,17.659,0.000
43,custom,32.405,0.000000,0.044,-0.000093,0.600000,0.000000,0.003942,1.000,0.069,17.851,0.000
44,custom,33.582,0.000000,0.084,-0.000184,0.600000,0.000000,0.004155,1.000,0.075,18.063,0.000
45,custom,34.631,0.000000,0.103,-0.000204,0.600000,0.000000,0.004389,1.000,0.080,18.253,0.000
46,custom,35.672,0.000000,0.103,-0.000208,0.600000,0.000000,0.004595,1.000,0.086,18.441,0.000
47,custom,36.742,0.000000,0.116,-0.000241,0.600000,0.000000,0.007224,1.000,0.095,18.634,0.000
48,custom,37.891,0.000000,0.142,-0.000285,0.600000,0.000000,0.007619,1.000,0.102,18.841,0.000
49,custom,38.877,0.000000,0.152,-0.000292,0.600000,0.000000,0.007891,1.000,0.107,19.019,0.000
50,custom,40.205,0.000000,0.130,-0.000266,0.368218,0.000000,0.008099,1.000,0.110,19.259,0.000
51,custom,40.693,0.000000,0.123,-0.000237,0.600000,0.000000,0.008413,1.000,0.116,19.347,0.000
