tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,damage
1,custom,0.276,0.000000,0.000,0.000000,0.600000,0.000000,-0.000951,1.000,-0.037,12.050,45.000,180.000,0.000021,35.000,0,0.000
2,custom,0.175,0.000000,0.000,0.000000,0.600000,0.000000,-0.001105,1.000,-0.041,12.032,45.000,180.000,0.000021,35.000,0,0.000
3,custom,0.418,0.000000,0.000,0.000000,0.600000,0.000000,-0.000736,1.000,-0.033,12.075,45.000,180.000,0.000021,35.000,0,0.000
4,custom,1.389,0.000000,0.000,0.000000,0.600000,0.000000,-0.000722,1.000,-0.032,12.251,45.000,180.000,0.000021,35.000,0,0.000
5,custom,2.237,0.000000,0.000,0.000000,0.600000,0.000000,-0.001308,1.000,-0.045,12.404,45.000,180.000,0.000021,35.000,0,0.000
6,custom,3.106,0.000000,0.000,0.000000,0.600000,0.000000,-0.001101,1.000,-0.040,12.561,45.000,180.000,0.000021,35.000,0,0.000
7,custom,3.814,0.000000,0.000,0.000000,0.600000,0.000000,-0.000727,1.000,-0.032,12.689,45.000,180.000,0.000021,35.000,0,0.000
8,custom,4.624,0.000000,0.000,0.000000,0.600000,0.000000,-0.001258,1.000,-0.044,12.835,45.000,180.000,0.000021,35.000,0,0.000
9,custom,5.539,0.000000,0.000,0.000000,0.600000,0.000000,-0.001381,1.000,-0.047,13.000,45.000,180.000,0.000021,35.000,0,0.000
10,custom,6.128,0.000000,0.000,0.000000,0.600000,0.000000,-0.001014,1.000,-0.038,13.106,45.000,180.000,0.000021,35.000,0,0.000
11,custom,6.788,0.000000,0.000,0.000000,0.600000,0.000000,-0.001017,1.000,-0.038,13.226,45.000,180.000,0.000021,35.000,0,0.000
12,custom,7.376,0.000000,0.000,0.000000,0.600000,0.000000,-0.001094,1.000,-0.040,13.332,45.000,180.000,0.000021,35.068,0,0.000
13,custom,7.975,0.000000,0.000,0.000000,0.600000,0.000000,-0.001011,1.000,-0.038,13.440,45.000,180.000,0.000021,35.642,0,0.000
14,custom,8.513,0.000000,0.000,0.000000,0.600000,0.000000,-0.000939,1.000,-0.037,13.537,45.000,180.000,0.000021,36.159,0,0.000
15,custom,9.281,0.000000,0.000,0.000000,0.600000,0.000000,-0.000793,1.000,-0.033,13.676,45.000,180.000,0.000021,36.894,0,0.000
16,custom,9.621,0.000000,0.000,0.000000,0.600000,0.000000,-0.000766,1.000,-0.032,13.737,45.000,180.000,0.000021,37.220,0,0.000
17,custom,10.378,0.000000,0.000,0.000000,0.600000,0.000000,-0.000561,1.000,-0.028,13.874,45.000,180.000,0.000021,37.946,0,0.000
18,custom,10.522,0.000000,0.000,0.000000,0.600000,0.000000,-0.000571,1.000,-0.027,13.900,45.000,180.000,0.000021,38.084,0,0.000
19,custom,11.112,0.000000,0.000,0.000000,0.600000,0.000000,-0.000411,1.000,-0.024,14.006,45.000,180.000,0.000021,38.649,0,0.000
20,custom,11.696,0.000000,0.000,0.000000,0.600000,0.000000,-0.001133,1.000,-0.025,14.112,45.000,180.000,0.000010,39.208,1,0.000
21,custom,12.518,0.000000,0.000,0.000000,0.600000,0.000000,-0.001013,1.000,-0.023,14.260,45.000,180.000,0.000010,39.996,1,0.000
22,custom,12.717,0.000000,0.000,0.000000,0.600000,0.000000,-0.000845,1.000,-0.020,14.296,45.000,180.000,0.000010,40.187,1,0.000
23,custom,13.016,0.000000,0.000,0.000000,0.600000,0.000000,-0.000644,1.000,-0.017,14.350,45.000,180.000,0.000010,40.474,1,0.000
24,custom,13.836,0.000000,0.000,0.000000,0.600000,0.000000,-0.000405,1.000,-0.013,14.498,45.000,180.000,0.000010,41.259,1,0.000
25,custom,14.371,0.000000,0.000,0.000000,0.600000,0.000000,-0.000245,1.000,-0.010,14.595,45.000,180.000,0.000010,41.772,1,0.000
26,custom,15.307,0.000000,0.000,0.000000,0.600000,0.000000,-0.000103,1.000,-0.008,14.764,45.000,180.000,0.000010,42.670,1,0.000
27,custom,16.173,0.000000,0.000,0.000000,0.600000,0.000000,0.000004,1.000,-0.006,14.920,45.000,180.000,0.000010,43.499,1,0.000
28,custom,16.394,0.000000,0.000,0.000000,0.600000,0.000000,0.000254,1.000,-0.001,14.960,45.000,180.000,0.000010,43.711,1,0.000
29,custom,17.439,0.000000,0.000,0.000000,0.600000,0.000000,0.000722,1.000,0.007,15.149,45.000,180.000,0.000010,44.712,1,0.000
30,custom,18.878,0.000000,0.000,0.000000,0.600000,0.000000,0.001002,1.000,0.012,15.409,45.000,180.000,0.000010,46.092,1,0.000
31,custom,19.832,0.000000,0.000,0.000000,0.600000,0.000000,0.001398,1.000,0.019,15.581,45.000,180.000,0.000010,47.006,1,0.000
32,custom,20.890,0.000000,0.000,0.000000,0.600000,0.000000,0.001755,1.000,0.025,15.772,45.000,180.000,0.000010,48.020,1,0.000
33,custom,22.353,0.000000,0.000,0.000000,0.600000,0.000000,0.001975,1.000,0.029,16.036,45.000,180.000,0.000010,49.422,1,0.000
34,custom,23.298,0.000000,0.000,0.000000,0.600000,0.000000,0.002146,1.000,0.032,16.207,45.000,180.000,0.000010,50.327,1,0.000
35,custom,24.876,0.000000,0.000,-0.000001,0.600000,0.000000,0.002365,1.000,0.036,16.492,45.000,180.000,0.000010,51.840,1,0.000
36,custom,25.756,0.000000,0.002,-0.000005,0.600000,0.000000,0.002640,1.000,0.041,16.650,45.000,180.000,0.000010,52.683,1,0.000
37,custom,27.036,0.000000,0.007,-0.000025,0.600000,0.000000,0.002881,1.000,0.046,16.881,45.000,180.000,0.000010,53.909,1,0.000
38,custom,28.403,0.000000,0.018,-0.000049,0.600000,0.000000,0.003232,1.000,0.053,17.128,45.000,180.000,0.000010,55.220,1,0.000
39,custom,29.805,0.000000,0.039,-0.000073,0.600000,0.000000,0.003664,1.000,0.062,17.381,45.000,180.000,0.000017,56.563,1,0.000
40,custom,31.294,0.000000,0.031,-0.000049,0.600000,0.000000,0.003996,1.000,0.069,17.650,45.000,180.000,0.000017,57.990,1,0.000
41,custom,32.558,0.000000,0.049,-0.000100,0.600000,0.000000,0.004242,1.000,0.075,17.878,45.000,180.000,0.000017,59.201,1,0.000
42,custom,33.742,0.000000,0.098,-0.000184,0.600000,0.000000,0.004536,1.000,0.082,18.092,45.000,180.000,0.000017,60.336,1,0.000
43,custom,34.822,0.000000,0.116,-0.000224,0.600000,0.000000,0.004783,1.000,0.088,18.287,45.000,180.000,0.000017,61.371,1,0.000
44,custom,36.124,0.000000,0.117,-0.000216,0.600000,0.000000,0.007417,1.000,0.097,18.522,45.000,180.000,0.000028,62.619,2,0.000
45,custom,37.061,0.000000,0.133,-0.000256,0.600000,0.000000,0.007773,1.000,0.103,18.691,45.000,180.000,0.000028,63.516,2,0.000
46,custom,38.312,0.000000,0.137,-0.000269,0.600000,0.000000,0.008125,1.000,0.109,18.917,45.000,180.000,0.000028,64.715,2,0.000
47,custom,39.300,0.000000,0.118,-0.000231,0.600000,0.000000,0.008291,1.000,0.111,19.096,45.000,180.000,0.000028,65.663,2,0.000
48,custom,40.458,0.000000,0.159,-0.000295,0.439053,0.000000,0.008568,1.000,0.116,19.305,45.000,180.000,0.000028,66.772,2,0.000
49,custom,41.248,0.000000,0.092,-0.000177,0.600000,0.000000,0.008840,1.000,0.121,19.448,45.000,180.000,0.000028,67.529,2,0.000
50,custom,42.487,0.000000,0.101,-0.000213,0.082468,0.000000,0.009053,1.000,0.125,19.671,45.000,180.000,0.000037,68.717,2,0.000
51,custom,42.109,0.000000,-0.001,0.000017,0.600000,0.000000,0.009526,1.000,0.133,19.603,45.000,180.000,0.000028,68.354,2,0.000
52,custom,43.632,0.000000,0.107,-0.000254,0.000000,0.000000,0.009256,1.000,0.129,19.878,45.000,180.000,0.000037,69.814,2,0.000
53,custom,43.009,0.000000,-0.015,0.000092,0.000000,0.000000,0.009746,1.000,0.138,19.766,45.000,180.000,0.000037,69.217,2,0.000
54,custom,42.762,0.000000,-0.062,0.000087,0.600000,0.000000,0.009424,1.000,0.132,19.721,45.000,180.000,0.000037,68.980,2,0.000
55,custom,44.204,0.000000,0.131,-0.000262,0.000000,0.000000,0.009331,1.000,0.130,19.981,45.000,180.000,0.000037,70.362,2,0.000
56,custom,43.763,0.000000,-0.039,0.000110,0.000000,0.000000,0.009775,1.000,0.140,19.902,45.000,180.000,0.000037,69.940,2,0.000
57,custom,43.528,0.000000,-0.073,0.000125,0.000000,0.000000,0.009707,1.000,0.138,19.859,45.000,180.000,0.000037,69.714,2,0.000
58,custom,43.394,0.000000,0.047,-0.000074,0.000000,0.000000,0.012928,1.000,0.128,19.835,45.000,180.000,0.000037,69.586,3,0.000
59,custom,43.260,0.000000,-0.008,0.000034,0.000000,0.000000,0.012744,1.000,0.125,19.811,45.000,180.000,0.000037,69.458,3,0.000
60,custom,43.212,0.000000,-0.044,0.000082,0.000000,0.000000,0.012626,1.000,0.123,19.802,45.000,180.000,0.000037,69.411,3,0.000
61,custom,43.109,0.000000,-0.038,0.000052,0.000000,0.000000,0.012472,1.000,0.121,19.784,45.000,180.000,0.000037,69.313,3,0.000
62,custom,42.904,0.000000,-0.001,-0.000011,0.448526,0.000000,0.012470,1.000,0.121,19.747,45.000,180.000,0.000037,69.116,3,0.000
63,custom,43.975,0.000000,0.090,-0.000177,0.000000,0.000000,0.012330,1.000,0.119,19.940,45.000,180.000,0.000037,70.143,3,0.000
64,custom,43.437,0.000000,-0.052,0.000090,0.000000,0.000000,0.012984,1.000,0.130,19.843,45.000,180.000,0.000037,69.627,3,0.000
65,custom,43.467,0.000000,-0.001,-0.000036,0.000000,0.000000,0.012780,1.000,0.126,19.848,45.000,180.000,0.000037,69.656,3,0.000
66,custom,43.264,0.000000,0.014,0.000028,0.000000,0.000000,0.012645,1.000,0.124,19.812,45.000,180.000,0.000037,69.462,3,0.000
67,custom,43.085,0.000000,-0.147,0.000301,0.000000,0.000000,0.012438,1.000,0.120,19.779,45.000,180.000,0.000037,69.290,3,0.000
68,custom,42.976,0.000000,-0.086,0.000164,0.375465,0.000000,0.012346,1.000,0.118,19.760,45.000,180.000,0.000037,69.185,3,0.000
69,custom,44.121,0.000000,-0.093,0.000178,0.000000,0.000000,0.012260,1.000,0.115,19.966,45.000,180.000,0.000037,70.282,3,0.000
70,custom,43.487,0.000000,-0.270,0.000520,0.000000,0.000000,0.012778,1.000,0.125,19.852,45.000,180.000,0.000037,69.675,3,0.000
71,custom,43.340,0.000000,-0.136,0.000232,0.000000,0.000000,0.013012,1.000,0.129,19.825,45.000,180.000,0.000037,69.534,3,0.000
72,custom,43.072,0.000000,-0.079,0.000175,0.000000,0.000000,0.016194,1.000,0.112,19.777,45.000,180.000,0.000037,69.277,4,0.000
73,custom,42.988,0.000000,-0.077,0.000143,0.348019,0.000000,0.016468,1.000,0.116,19.762,45.000,180.000,0.000037,69.197,4,0.000
74,custom,43.913,0.000000,0.168,-0.000392,0.000000,0.000000,0.016711,1.000,0.120,19.929,45.000,180.000,0.000037,70.084,4,0.000
75,custom,43.498,0.000000,0.083,-0.000130,0.000000,0.000000,0.017508,1.000,0.133,19.854,45.000,180.000,0.000037,69.685,4,0.000
76,custom,43.326,0.000000,0.132,-0.000283,0.000000,0.000000,0.017374,1.000,0.131,19.823,45.000,180.000,0.000037,69.521,4,0.000
77,custom,43.132,0.000000,0.105,-0.000154,0.000000,0.000000,0.017162,1.000,0.128,19.788,45.000,180.000,0.000037,69.335,4,0.000
78,custom,43.007,0.000000,0.001,0.000000,0.000000,0.000000,0.016846,1.000,0.123,19.765,45.000,180.000,0.000037,69.215,4,0.000
79,custom,42.890,0.000000,-0.046,0.000107,0.381025,0.000000,0.016710,1.000,0.120,19.744,45.000,180.000,0.000037,69.103,4,0.000
80,custom,43.810,0.000000,0.033,-0.000108,0.000000,0.000000,0.016585,1.000,0.118,19.910,45.000,180.000,0.000037,69.984,4,0.000
81,custom,43.324,0.000000,-0.068,0.000165,0.000000,0.000000,0.017196,1.000,0.129,19.822,45.000,180.000,0.000037,69.519,4,0.000
82,custom,43.399,0.000000,-0.029,0.000037,0.000000,0.000000,0.017087,1.000,0.127,19.836,45.000,180.000,0.000037,69.591,4,0.000
83,custom,43.193,0.000000,0.010,-0.000016,0.000000,0.000000,0.017065,1.000,0.127,19.799,45.000,180.000,0.000037,69.393,4,0.000
84,custom,43.021,0.000000,-0.021,0.000059,0.000000,0.000000,0.016946,1.000,0.124,19.768,45.000,180.000,0.000037,69.229,4,0.000
85,custom,42.917,0.000000,-0.044,0.000098,0.370043,0.000000,0.019744,1.000,0.095,19.749,45.000,180.000,0.000037,69.129,5,0.000
86,custom,43.762,0.000000,0.065,-0.000128,0.000000,0.000000,0.019635,1.000,0.094,19.901,45.000,180.000,0.000037,69.938,5,0.000
87,custom,43.312,0.000000,-0.064,0.000138,0.000000,0.000000,0.020408,1.000,0.105,19.820,45.000,180.000,0.000037,69.507,5,0.000
88,custom,43.238,0.000000,-0.013,0.000008,0.000000,0.000000,0.020310,1.000,0.103,19.807,45.000,180.000,0.000037,69.436,5,0.000
89,custom,43.045,0.000000,0.037,-0.000061,0.000000,0.000000,0.020318,1.000,0.104,19.772,45.000,180.000,0.000037,69.252,5,0.000
90,custom,43.017,0.000000,-0.001,-0.000004,0.000000,0.000000,0.020226,1.000,0.102,19.767,45.000,180.000,0.000037,69.225,5,0.000
91,custom,42.816,0.000000,0.022,-0.000053,0.436865,0.000000,0.020172,1.000,0.102,19.731,45.000,180.000,0.000037,69.032,5,0.000
92,custom,43.899,0.000000,0.145,-0.000290,0.000000,0.000000,0.020100,1.000,0.101,19.926,45.000,180.000,0.000037,70.070,5,0.000
93,custom,43.393,0.000000,0.000,0.000021,0.000000,0.000000,0.020579,1.000,0.109,19.835,45.000,180.000,0.000037,69.585,5,0.000
94,custom,43.390,0.000000,0.028,-0.000087,0.000000,0.000000,0.020513,1.000,0.108,19.834,45.000,180.000,0.000037,69.582,5,0.000
95,custom,43.073,0.000000,0.023,-0.000024,0.000000,0.000000,0.020361,1.000,0.106,19.777,45.000,180.000,0.000037,69.278,5,0.000
96,custom,43.055,0.000000,-0.010,0.000050,0.000000,0.000000,0.020163,1.000,0.102,19.774,45.000,180.000,0.000037,69.261,5,0.000
97,custom,42.864,0.000000,-0.067,0.000121,0.409475,0.000000,0.020057,1.000,0.100,19.739,45.000,180.000,0.000037,69.078,5,0.000
98,custom,43.821,0.000000,-0.002,0.000003,0.000000,0.000000,0.020002,1.000,0.099,19.912,45.000,180.000,0.000037,69.995,5,0.000
99,custom,43.473,0.000000,-0.162,0.000329,0.000000,0.000000,0.022912,1.000,0.071,19.849,45.000,180.000,0.000037,69.661,6,0.000
100,custom,43.273,0.000000,-0.142,0.000251,0.000000,0.000000,0.022725,1.000,0.068,19.813,45.000,180.000,0.000037,69.470,6,0.000
101,custom,43.156,0.000000,-0.058,0.000143,0.000000,0.000000,0.022733,1.000,0.068,19.792,45.000,180.000,0.000037,69.358,6,0.000
102,custom,43.103,0.000000,-0.142,0.000269,0.000000,0.000000,0.022690,1.000,0.067,19.783,45.000,180.000,0.000037,69.307,6,0.000
103,custom,42.910,0.000000,-0.095,0.000184,0.439204,0.000000,0.022920,1.000,0.070,19.748,45.000,180.000,0.000037,69.122,6,0.000
104,custom,43.872,0.000000,0.058,-0.000126,0.000000,0.000000,0.023002,1.000,0.072,19.921,45.000,180.000,0.000037,70.044,6,0.000
105,custom,43.304,0.000000,-0.063,0.000131,0.000000,0.000000,0.023675,1.000,0.082,19.819,45.000,180.000,0.000037,69.500,6,0.000
106,custom,43.446,0.000000,-0.001,-0.000038,0.000000,0.000000,0.023583,1.000,0.081,19.844,45.000,180.000,0.000037,69.635,6,0.000
107,custom,43.331,0.000000,0.024,-0.000073,0.000000,0.000000,0.023635,1.000,0.082,19.824,45.000,180.000,0.000037,69.525,6,0.000
108,custom,43.123,0.000000,0.022,-0.000031,0.000000,0.000000,0.023625,1.000,0.082,19.786,45.000,180.000,0.000037,69.326,6,0.000
109,custom,42.986,0.000000,0.033,-0.000060,0.391705,0.000000,0.023551,1.000,0.081,19.761,45.000,180.000,0.000037,69.195,6,0.000
110,custom,43.652,0.000000,0.128,-0.000281,0.000000,0.000000,0.023494,1.000,0.080,19.882,45.000,180.000,0.000037,69.833,6,0.000
111,custom,43.408,0.000000,0.016,-0.000008,0.000000,0.000000,0.023960,1.000,0.089,19.838,45.000,180.000,0.000037,69.599,6,0.000
112,custom,43.347,0.000000,0.051,-0.000124,0.000000,0.000000,0.023889,1.000,0.088,19.827,45.000,180.000,0.000037,69.541,6,0.000
113,custom,43.138,0.000000,0.065,-0.000106,0.000000,0.000000,0.025576,1.000,0.050,19.789,45.000,180.000,0.000036,69.341,7,0.000
114,custom,43.125,0.000000,0.022,-0.000043,0.000000,0.000000,0.025301,1.000,0.046,19.786,45.000,180.000,0.000036,69.328,7,0.000
115,custom,42.878,0.000000,-0.028,0.000060,0.451512,0.000000,0.025205,1.000,0.045,19.742,45.000,180.000,0.000036,69.092,7,0.000
116,custom,43.787,0.000000,0.062,-0.000127,0.000000,0.000000,0.025149,1.000,0.044,19.906,45.000,180.000,0.000036,69.963,7,0.000
117,custom,43.419,0.000000,-0.092,0.000201,0.000000,0.000000,0.025751,1.000,0.053,19.839,45.000,180.000,0.000036,69.609,7,0.000
118,custom,43.257,0.000000,-0.067,0.000091,0.000000,0.000000,0.025650,1.000,0.051,19.810,45.000,180.000,0.000036,69.454,7,0.000
119,custom,43.210,0.000000,-0.026,0.000059,0.000000,0.000000,0.025675,1.000,0.052,19.802,45.000,180.000,0.000036,69.409,7,0.000
120,custom,43.129,0.000000,-0.071,0.000135,0.000000,0.000000,0.025610,1.000,0.050,19.787,45.000,180.000,0.000036,69.332,7,0.000
121,custom,42.967,0.000000,-0.016,0.000029,0.392990,0.000000,0.025734,1.000,0.052,19.758,45.000,180.000,0.000036,69.177,7,0.000
122,custom,43.756,0.000000,0.070,-0.000147,0.000000,0.000000,0.025767,1.000,0.053,19.900,45.000,180.000,0.000036,69.933,7,0.000
123,custom,43.385,0.000000,-0.021,0.000055,0.000000,0.000000,0.026307,1.000,0.063,19.833,45.000,180.000,0.000036,69.577,7,0.000
124,custom,43.185,0.000000,-0.037,0.000057,0.000000,0.000000,0.026164,1.000,0.060,19.797,45.000,180.000,0.000036,69.386,7,0.000
125,custom,43.174,0.000000,-0.023,0.000050,0.000000,0.000000,0.026144,1.000,0.060,19.795,45.000,180.000,0.000036,69.375,7,0.000
126,custom,43.076,0.000000,0.000,0.000013,0.000000,0.000000,0.026132,1.000,0.060,19.778,45.000,180.000,0.000036,69.281,7,0.000
127,custom,42.918,0.000000,-0.026,0.000042,0.413578,0.000000,0.027377,1.000,0.034,19.749,45.000,180.000,0.000025,69.130,8,0.000
