tick,stage,map,vehicle,image_path,speed_kph,steering_wheel_deg,steering_input,throttle_input,brake_input,lane_offset,lane_confidence,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_depth_min_m,sensor_lateral_accel_mps2,damage
1,ai,hirochi_raceway,bolide,images\frame_000001.jpg,10.169,-72.927,0.152268,0.000000,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
2,ai,hirochi_raceway,bolide,images\frame_000002.jpg,9.053,-77.313,0.133599,0.000000,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
3,ai,hirochi_raceway,bolide,images\frame_000003.jpg,11.431,-37.838,0.062141,0.725407,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
4,ai,hirochi_raceway,bolide,images\frame_000004.jpg,19.400,23.467,-0.053447,0.932959,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
5,ai,hirochi_raceway,bolide,images\frame_000005.jpg,26.552,71.740,-0.137389,0.945608,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
6,ai,hirochi_raceway,bolide,images\frame_000006.jpg,34.419,105.049,-0.190850,0.875147,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
7,ai,hirochi_raceway,bolide,images\frame_000007.jpg,42.865,68.190,-0.114344,0.856510,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
8,ai,hirochi_raceway,bolide,images\frame_000008.jpg,50.541,33.193,-0.058439,0.928015,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
9,ai,hirochi_raceway,bolide,images\frame_000009.jpg,58.162,35.279,-0.066048,0.944571,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
10,ai,hirochi_raceway,bolide,images\frame_000010.jpg,65.570,46.185,-0.085551,0.925312,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
11,ai,hirochi_raceway,bolide,images\frame_000011.jpg,71.706,49.727,-0.090105,0.924482,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
12,ai,hirochi_raceway,bolide,images\frame_000012.jpg,71.587,47.363,-0.085327,0.962090,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
13,ai,hirochi_raceway,bolide,images\frame_000013.jpg,77.846,36.936,-0.066402,0.951974,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
14,ai,hirochi_raceway,bolide,images\frame_000014.jpg,83.469,33.412,-0.059103,0.962338,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
15,ai,hirochi_raceway,bolide,images\frame_000015.jpg,88.209,21.407,-0.036281,0.964049,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
16,ai,hirochi_raceway,bolide,images\frame_000016.jpg,93.159,6.887,-0.010303,0.901226,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
17,ai,hirochi_raceway,bolide,images\frame_000017.jpg,95.841,-0.124,0.000117,0.358526,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
18,ai,hirochi_raceway,bolide,images\frame_000018.jpg,96.439,1.387,-0.002644,0.183842,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
19,ai,hirochi_raceway,bolide,images\frame_000019.jpg,96.466,0.864,-0.001335,0.161860,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
20,ai,hirochi_raceway,bolide,images\frame_000020.jpg,96.488,-0.335,0.000927,0.160112,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
21,ai,hirochi_raceway,bolide,images\frame_000021.jpg,96.679,-1.182,0.002242,0.160446,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
22,ai,hirochi_raceway,bolide,images\frame_000022.jpg,96.652,-1.496,0.002770,0.161441,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
23,ai,hirochi_raceway,bolide,images\frame_000023.jpg,96.593,-2.189,0.004066,0.167794,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
24,ai,hirochi_raceway,bolide,images\frame_000024.jpg,96.668,-2.358,0.004284,0.172282,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
25,ai,hirochi_raceway,bolide,images\frame_000025.jpg,96.496,-2.427,0.004375,0.174887,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
26,ai,hirochi_raceway,bolide,images\frame_000026.jpg,96.656,-1.735,0.003180,0.173609,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
27,ai,hirochi_raceway,bolide,images\frame_000027.jpg,96.552,-2.158,0.003898,0.179895,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
28,ai,hirochi_raceway,bolide,images\frame_000028.jpg,96.675,-1.925,0.003618,0.180858,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
29,ai,hirochi_raceway,bolide,images\frame_000029.jpg,96.544,-3.557,0.007035,0.181840,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
30,ai,hirochi_raceway,bolide,images\frame_000030.jpg,96.567,-3.698,0.005375,0.188381,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
31,ai,hirochi_raceway,bolide,images\frame_000031.jpg,96.532,13.620,-0.029619,0.176778,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
32,ai,hirochi_raceway,bolide,images\frame_000032.jpg,96.300,43.254,-0.084538,0.164170,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
33,ai,hirochi_raceway,bolide,images\frame_000033.jpg,96.480,72.822,-0.135083,0.061643,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
34,ai,hirochi_raceway,bolide,images\frame_000034.jpg,92.220,86.487,-0.158912,0.000000,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
35,ai,hirochi_raceway,bolide,images\frame_000035.jpg,88.256,93.455,-0.171469,0.015963,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
36,ai,hirochi_raceway,bolide,images\frame_000036.jpg,87.707,107.848,-0.202341,0.242393,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
37,ai,hirochi_raceway,bolide,images\frame_000037.jpg,84.786,138.347,-0.255340,0.097148,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
38,ai,hirochi_raceway,bolide,images\frame_000038.jpg,84.075,147.346,-0.269817,0.242863,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
39,ai,hirochi_raceway,bolide,images\frame_000039.jpg,83.239,161.026,-0.294907,0.338151,0.000000,0.000000,1.000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000
