tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
1,ai,0.490,0.000000,-44.198,0.124150,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
2,ai,2.580,0.000000,-98.564,0.238046,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
3,ai,7.363,0.000000,-98.444,0.237303,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
4,ai,8.532,0.000000,-96.491,0.232108,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
5,ai,4.680,0.000000,-94.379,0.227487,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
6,ai,5.340,0.000000,-92.416,0.222810,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
7,ai,8.017,0.000000,-90.344,0.217465,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
8,ai,6.004,0.000000,-88.141,0.212539,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
9,ai,10.609,0.000000,-84.998,0.204566,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
10,ai,8.855,0.000000,-80.797,0.194859,0.000000,0.000000,0.000000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,70.000,0.000,0.000,0.000,inf,0.000000,0.000000,0.000
